SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
OPTR,2013-06-30,USD,None,20070000,46930000,46930000,None,None,10940000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2013-03-31,USD,None,19435000,50669000,50669000,None,None,9886000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2012-12-31,USD,None,19515000,49539000,49539000,None,None,11868000,None,None,None,None,None,None,None,None,None,1001000,None,None,None,None,None,None,1000000
OPTR,2012-09-30,USD,None,17876000,43959000,43959000,None,None,10710000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2012-06-30,USD,None,49757000,49211000,49211000,328000,None,11557000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2012-03-31,USD,None,14383000,48783000,48783000,None,None,11068000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2011-12-31,USD,None,64616000,48692000,48692000,15753000,None,14011000,None,None,None,None,None,None,None,None,None,12816000,None,None,None,None,None,None,13355000
OPTR,2011-09-30,USD,None,11052000,37819000,37819000,None,None,10405000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2011-06-30,USD,None,33000,24931000,24931000,None,None,10198000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2011-03-31,USD,None,69277000,24372000,24372000,44819000,None,8471000,None,None,None,None,None,None,None,None,None,44842000,None,None,None,None,None,None,45133000
OPTR,2010-12-31,USD,None,156000,12557000,12557000,None,None,6940000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2010-09-30,USD,None,669000,12845000,12845000,None,None,8076000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2010-06-30,USD,None,358000,10689000,10689000,None,None,6419000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2010-03-31,USD,None,297000,13950000,13950000,None,None,11362000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2009-12-31,USD,None,209000,9811000,9811000,None,None,7197000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2009-09-30,USD,None,176000,9552000,9552000,None,None,7192000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2009-06-30,USD,None,425000,12814000,12814000,None,None,10413000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2009-03-31,USD,None,83000,11097000,11097000,None,None,8914000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2008-12-31,USD,None,128000,10615000,10615000,None,None,8031000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2008-09-30,USD,None,240000,9782000,9782000,None,None,7879000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPTR,2008-06-30,USD,None,168000,8600000,8600000,None,None,6221000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
