SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
OPWR,2016-03-31,USD,22113000,36689000,14576000,14576000,-11788000,20590000,13311000,33901000,None,None,None,29000,None,667000,None,None,-11150000,1000,None,-11151000,None,-11121000,None,-11151000
OPWR,2015-12-31,USD,24229000,40547000,16318000,16318000,-13412000,23338000,14303000,37641000,None,None,None,18000,None,159000,None,None,-13271000,298000,None,-13569000,None,-13253000,None,-13569000
OPWR,2015-09-30,USD,25157000,38936000,12541000,12541000,-7981000,19281000,13857000,33138000,None,None,None,19000,None,-324000,None,None,-8324000,-33000,None,-8291000,None,-8305000,None,-8291000
OPWR,2015-06-30,USD,21835000,35787000,12746000,12746000,-12120000,20233000,13722000,33955000,None,None,None,11000,None,162000,None,None,-11969000,56000,None,-12025000,None,-11958000,None,-12025000
OPWR,2015-03-31,USD,21407000,33421000,12014000,12014000,-9882000,19076000,12213000,31289000,None,None,None,1000,None,-1036000,None,None,-10919000,55000,None,-10974000,None,-10918000,None,-10974000
OPWR,2014-12-31,USD,22640000,34845000,11157000,11157000,-11371000,22143000,11868000,34011000,None,None,None,15000,None,-524000,None,None,-11910000,-140000,None,-11770000,None,-11895000,None,-11770000
OPWR,2014-09-30,USD,22562000,33774000,10430000,10430000,-7436000,18821000,11177000,29998000,None,None,None,14000,None,-709000,None,None,-8159000,37000,None,-8196000,None,-8145000,None,-8196000
OPWR,2014-06-30,USD,20474000,31247000,10072000,10072000,-14656000,22930000,12200000,35130000,None,None,None,19000,None,-158000,None,None,-14833000,-28000,None,-14805000,None,-14814000,None,-14805000
OPWR,2014-03-31,USD,18638000,28573000,9388000,9388000,-7333000,15217000,10754000,25971000,None,None,None,66000,None,463000,None,None,-6936000,44000,None,-6980000,None,-6870000,None,-6980000
OPWR,2013-12-31,USD,None,25960000,8455000,8455000,None,21970000,9830000,None,None,None,None,65000,None,None,None,None,None,None,None,None,None,None,None,None
OPWR,2013-09-30,USD,None,22491000,7470000,7470000,None,17440000,7821000,None,None,None,None,61000,None,None,None,None,None,None,None,None,None,None,None,None
OPWR,2013-06-30,USD,None,21229000,6935000,6935000,None,14726000,6112000,None,None,None,None,48000,None,None,None,None,None,26000,None,None,None,None,None,None
OPWR,2013-03-31,USD,None,19023000,7740000,7740000,None,13378000,5733000,None,None,None,None,13000,None,None,None,None,None,7000,None,None,None,None,None,None
OPWR,2012-12-31,USD,None,15896000,5361000,5361000,None,12742000,4418000,None,None,None,None,None,None,None,None,None,None,15000,None,None,None,None,None,None
OPWR,2012-09-30,USD,None,13955000,5012000,5012000,None,11727000,3998000,None,None,None,None,None,None,None,None,None,None,12000,None,None,None,None,None,None
OPWR,2012-06-30,USD,None,11727000,3945000,3945000,None,10901000,4026000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
OPWR,2012-03-31,USD,None,10178000,4595000,4595000,None,9832000,3692000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
