SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
OXPS,2011-06-30,USD,None,57349000,36582000,36582000,18587000,None,None,None,None,None,None,1059000,None,None,None,None,14991000,6133000,None,None,None,None,None,8842000
OXPS,2011-03-31,USD,None,61867000,36473000,36473000,23228000,None,None,None,None,None,None,1083000,None,None,None,None,22245000,7993000,None,None,None,None,None,14228000
OXPS,2010-12-31,USD,None,55592000,35060000,35060000,18358000,None,None,None,None,None,None,54000,None,None,None,None,18304000,6719000,None,None,None,None,None,11574000
OXPS,2010-09-30,USD,None,53414000,32873000,32873000,18393000,None,None,None,None,None,None,39000,None,None,None,None,18354000,5484000,None,None,None,None,None,12855000
OXPS,2010-06-30,USD,None,65556000,38609000,38609000,24670000,None,None,None,None,None,None,56000,None,None,None,None,24614000,9005000,None,None,None,None,None,15587000
OXPS,2010-03-31,USD,None,57082000,35889000,35889000,18902000,None,None,None,None,None,None,51000,None,None,None,None,18851000,6946000,None,None,None,None,None,11888000
OXPS,2009-12-31,USD,None,60189000,34072000,34072000,23878000,None,None,None,None,None,None,67000,None,None,None,None,22517000,7628000,None,None,None,None,None,14870000
OXPS,2009-09-30,USD,None,62342000,34641000,34641000,25351000,None,None,None,None,None,None,55000,None,None,None,None,25296000,9007000,None,None,None,None,None,16268000
OXPS,2009-06-30,USD,None,61776000,33741000,33741000,25737000,None,None,None,None,None,None,61000,None,None,None,None,25256000,9165000,None,None,None,None,None,16073000
OXPS,2009-03-31,USD,None,49356000,26095000,26095000,21269000,None,None,None,None,None,None,62000,None,None,None,None,21207000,7639000,None,None,None,None,None,13556000
OXPS,2008-12-31,USD,None,57469000,26168000,26168000,29319000,None,None,None,None,None,None,152000,None,None,None,None,29167000,9921000,None,None,None,None,None,19184000
OXPS,2008-09-30,USD,None,67328000,27066000,27066000,38266000,None,None,None,None,None,None,476000,None,None,None,None,37790000,13723000,None,None,None,None,None,23994000
OXPS,2008-06-30,USD,None,62006000,22786000,22786000,37453000,None,None,None,None,None,None,382000,None,None,None,None,37071000,13654000,None,None,None,None,None,23348000
OXPS,2008-03-31,USD,None,61549000,21534000,21534000,38337000,None,None,None,None,None,None,784000,None,None,None,None,37553000,13710000,None,None,None,None,None,23789000
OXPS,2007-12-31,USD,None,70619000,21697000,21697000,47353000,None,None,None,None,None,None,1806000,None,None,None,None,45547000,17544000,None,None,None,None,None,28003000
OXPS,2007-09-30,USD,None,66098000,21189000,21189000,43354000,None,None,None,None,None,None,2009000,None,None,None,None,41345000,16080000,None,None,None,None,None,25265000
OXPS,2007-06-30,USD,None,61024000,20207000,20207000,39497000,None,None,None,None,None,None,1624000,None,None,None,None,37873000,14703000,None,None,None,None,None,23170000
OXPS,2007-03-31,USD,None,56304000,18678000,18678000,36360000,None,None,None,None,None,None,1576000,None,None,None,None,34784000,13503000,None,None,None,None,None,21281000
OXPS,2006-12-31,USD,None,50500000,16983000,16983000,32563000,None,None,None,None,None,None,1154000,None,None,None,None,31409000,11985000,None,None,None,None,None,19424000
OXPS,2006-09-30,USD,None,44123000,16521000,16521000,26687000,None,None,None,None,None,None,286000,None,None,None,None,26401000,10139000,None,None,None,None,None,16262000
OXPS,2006-06-30,USD,None,47311000,17032000,17032000,29474000,None,None,None,None,None,None,None,None,None,None,None,29474000,11476000,None,None,None,None,None,17998000
