SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
PETX,2019-03-31,USD,-1519000,7360000,1519000,1519000,-6962000,9193000,1775000,12921000,None,None,None,None,7360000,1000,None,261000,-6787000,None,None,-6787000,-6787000,-6962000,-6701000,-6787000
PETX,2018-12-31,USD,2136000,3872000,2770000,2770000,-7720000,7362000,1567000,34187000,None,-1034000,None,1034000,4906000,-105000,None,247000,-8634000,None,1034000,-8634000,-8634000,-7720000,-7473000,-8634000
PETX,2018-09-30,USD,-2553000,20839000,1837000,2172000,9391000,7010000,1507000,10110000,None,-716000,None,716000,21555000,-1000,None,247000,8833000,None,716000,8833000,8833000,9391000,9638000,8833000
PETX,2018-06-30,USD,-2093000,4120000,1305000,1305000,-5726000,6709000,1576000,9329000,None,-788000,None,788000,4908000,0,None,247000,-6373000,None,788000,-6373000,-7251000,-5726000,-5479000,-6373000
PETX,2018-03-31,USD,-1389000,3190000,536000,536000,-7833000,7699000,2205000,10959000,None,-853000,None,853000,4043000,-3000,None,249000,-8548000,None,853000,-8548000,-8143000,-7833000,-7584000,-8548000
PETX,2017-12-31,USD,4545000,9607000,6259000,6259000,-14848000,7574000,3552000,-15093000,None,-880000,None,880000,-15086000,-8000,None,234000,-15598000,None,880000,-15598000,-15343000,-14848000,-14614000,-15598000
PETX,2017-09-30,USD,1209000,5293000,4084000,4084000,-8183000,6910000,3220000,10894000,None,-870000,None,870000,6163000,-5000,None,323000,-8920000,None,870000,-8920000,-8119000,-8183000,-7860000,-8920000
PETX,2017-06-30,USD,596000,4287000,3691000,3691000,-9590000,6918000,3700000,11057000,None,-871000,None,871000,5158000,-7000,None,213000,-10380000,None,871000,-10380000,-8958000,-9590000,-9377000,-10380000
PETX,2017-03-31,USD,-159000,2935000,3094000,3094000,-11835000,7495000,4654000,47439000,None,-860000,None,860000,3795000,-2000,None,392000,-12612000,None,860000,-12612000,-12313000,-11835000,-11443000,-12612000
PETX,2016-12-31,USD,-801000,-547000,4727000,4727000,-22905000,7719000,9076000,22256000,None,-842000,None,842000,3000,305000,None,253000,-23333000,None,842000,-23333000,-24766000,-22905000,-22652000,-23333000
PETX,2016-09-30,USD,-1110000,-824000,286000,286000,-12614000,6924000,5334000,12527000,None,-859000,None,859000,None,-14000,None,245000,-13371000,None,859000,-13371000,-12953000,-12614000,-12369000,-13371000
PETX,2016-06-30,USD,35460000,37201000,1741000,1741000,21960000,6148000,5303000,14346000,None,-846000,None,846000,None,-1000,None,249000,21196000,None,846000,21196000,20492000,21960000,22209000,21176000
PETX,2016-03-31,USD,-696000,-677000,19000,19000,-17260000,6551000,10749000,17562000,None,-849000,None,849000,None,-35000,None,244000,-18067000,None,849000,-18067000,-16890000,-17260000,-17016000,-18067000
PETX,2015-12-31,USD,55000,-861000,8000,8000,-12281000,5758000,6465000,12485000,None,-924000,None,924000,None,-1000,None,244000,-13164000,-309000,924000,-12855000,-13522000,-12281000,-12037000,-12855000
PETX,2015-09-30,USD,206000,344000,138000,138000,-55007000,4997000,6197000,55155000,None,-226000,None,226000,None,0,None,540000,-55200000,-758000,226000,-54442000,-54502000,-55007000,-54467000,-54442000
PETX,2015-06-30,USD,245000,354000,109000,109000,-11345000,4879000,6081000,11466000,None,-217000,None,217000,None,3176000,None,536000,-8343000,-360000,217000,-7983000,-11279000,-11345000,-10809000,-7983000
PETX,2015-03-31,USD,-172000,-62000,110000,110000,-10863000,4185000,6221000,10946000,None,-218000,None,218000,None,1965000,None,520000,-9045000,-271000,218000,-8774000,-12701000,-10863000,-10343000,-8774000
PETX,2014-12-31,USD,-85000,-45000,40000,333000,-12354000,5025000,6035000,11219000,None,-292000,None,292000,None,2445000,None,159000,-10136000,120000,292000,-10256000,-10451000,-12354000,-12195000,-8693000
PETX,2014-09-30,USD,-179000,-179000,0,10032000,-10530000,3897000,6078000,9934000,None,-222000,None,222000,None,-10000,None,701000,-10731000,-601000,222000,-10130000,-13343000,-10530000,-9829000,-10731000
PETX,2014-06-30,USD,82000,82000,0,8663000,-9503000,4404000,4300000,9528000,None,-218000,None,218000,None,95000,None,617000,-9613000,-335000,218000,-9278000,-9520000,-9503000,-8886000,-9278000
