SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
PLOW,2020-12-31,USD,47787000,158989000,110373000,110373000,27888000,17182000,None,26881000,None,1026000,None,-1026000,157963000,124000,2316000,2717000,23370000,5208000,-716000,18162000,18804000,27888000,30605000,18162000
PLOW,2020-09-30,USD,36728000,134434000,97033000,97033000,17563000,16428000,None,19452000,None,673000,None,-673000,133761000,145000,2170000,2737000,12464000,3234000,-436000,9230000,9719000,17563000,20300000,9230000
PLOW,2020-06-30,USD,32075000,119146000,87968000,87968000,-112394000,13858000,None,144469000,None,-5662000,None,5662000,120043000,-67000,2164000,2739000,-121315000,-17456000,None,-103859000,-103377000,-112394000,-109655000,-103859000
PLOW,2020-03-31,USD,11690000,68190000,56500000,56500000,-8197000,17149000,None,20091000,None,-5040000,-5040000,5040000,68190000,-111000,2156000,2738000,-13348000,-3262000,None,-10086000,-14380000,-8197000,-5459000,-10086000
PLOW,2019-12-31,USD,46339000,159475000,113959000,113959000,24992000,18608000,None,27213000,None,-4172000,-4172000,4172000,160298000,-349000,2138000,2739000,14062000,2502000,None,11560000,19285000,24992000,27731000,11560000
PLOW,2019-09-30,USD,39939000,141869000,101930000,101930000,19933000,17269000,None,20103000,None,-4271000,-4271000,4271000,141869000,-120000,1991000,2737000,15542000,3113000,None,12429000,11361000,19933000,22670000,12429000
PLOW,2019-06-30,USD,59593000,176356000,116763000,116763000,38087000,18767000,None,21506000,None,-4189000,-8339000,4189000,176356000,-125000,2060000,2739000,33773000,8299000,None,25474000,23075000,38087000,40826000,25474000
PLOW,2019-03-31,USD,22946000,93187000,70241000,70241000,3561000,16644000,None,19492000,None,-4150000,-4150000,4150000,93187000,-171000,2067000,2741000,-760000,-463000,None,-297000,-1319000,3561000,6302000,-297000
PLOW,2018-12-31,USD,44094000,151002000,107731000,107731000,24550000,16677000,3194000,22638000,None,None,None,-4523000,151825000,-279000,2003000,2867000,19748000,5052000,None,14696000,13768000,24550000,27417000,14696000
PLOW,2018-09-30,USD,34920000,124832000,89912000,89912000,15460000,16592000,None,19777000,None,None,None,4379000,124832000,-12000,1916000,2868000,11069000,1148000,None,9921000,10709000,15460000,18328000,9921000
PLOW,2018-06-30,USD,55849000,163446000,107597000,107597000,32440000,20543000,None,23409000,None,None,None,4096000,163446000,-264000,1864000,2866000,28080000,6916000,None,21164000,22132000,32440000,35306000,21164000
PLOW,2018-03-31,USD,20027000,83964000,63937000,63937000,1010000,16146000,None,19199000,None,None,None,3945000,83964000,-203000,1830000,2871000,-3138000,-1262000,None,-1876000,-1052000,1010000,3881000,-1876000
PLOW,2017-12-31,USD,44811000,137145000,93158000,93158000,25422000,16520000,2926000,22366000,None,None,None,3988000,137969000,17000,1900000,2869000,21451000,-13077000,None,34528000,34834000,25422000,28291000,34528000
PLOW,2017-09-30,USD,36055000,125339000,89284000,89284000,19965000,13093000,None,16437000,None,None,None,4860000,125339000,-24000,1806000,2997000,15081000,5754000,None,9327000,9396000,19965000,22962000,9327000
PLOW,2017-06-30,USD,45033000,139371000,94338000,94338000,25322000,16925000,None,18436000,None,None,None,4192000,139371000,-51000,1741000,2786000,22354000,7608000,None,14746000,14505000,25322000,28108000,14746000
PLOW,2017-03-31,USD,17187000,72248000,55061000,55061000,-618000,15056000,None,17933000,None,None,None,5296000,72248000,-57000,1736000,2749000,-5971000,-2694000,None,-3277000,-3311000,-618000,2131000,-3277000
PLOW,2016-12-31,USD,41678000,129519000,88465000,88465000,22655000,16274000,3132000,19010000,None,None,None,4942000,None,-47000,1776000,2749000,17666000,7565000,None,10101000,11120000,22655000,25404000,10101000
PLOW,2016-09-30,USD,36644000,123573000,86929000,86929000,16488000,15761000,None,20226000,None,None,None,4518000,None,-97000,1617000,4395000,11873000,4571000,None,7302000,7321000,16488000,20883000,7302000
PLOW,2016-06-30,USD,41521000,113763000,72242000,72242000,28483000,11312000,None,13038000,None,None,None,2863000,None,-69000,1370000,1726000,25551000,9223000,None,16328000,15875000,28483000,30209000,16328000
PLOW,2016-03-31,USD,14131000,48789000,34658000,34658000,1492000,10913000,None,2580000,None,None,None,2872000,None,-64000,1383000,1726000,8606000,3328000,None,5278000,4204000,1492000,3218000,5278000
