SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
PRMW,2021-12-31,USD,281800000,2412300000,223200000,None,24500000,247600000,None,275900000,None,-20800000,0,20800000,2432900000,-18100000,34500000,20500000,-15600000,5600000,40500000,-20000000,-13100000,24500000,45000000,-21200000
PRMW,2020-09-30,USD,304100000,494900000,213400000,213000000,41300000,257200000,None,282600000,None,-20400000,0,20400000,515200000,4800000,36900000,19800000,25400000,3400000,20400000,22300000,17200000,41300000,61100000,22000000
PRMW,2020-06-30,USD,254700000,456800000,202100000,202100000,-114000000,246700000,None,386700000,None,-20700000,0,20700000,454900000,1600000,36800000,18600000,-137400000,-1400000,20700000,-131700000,-127600000,-114000000,-95400000,-136000000
PRMW,2020-03-31,USD,273300000,474200000,200900000,200900000,-4000000,255100000,None,293400000,None,-19700000,0,19700000,472800000,-7000000,30600000,16100000,200000,-3300000,19700000,-27400000,-26400000,-4000000,12100000,3500000
PRMW,2019-12-31,USD,305600000,3410100000,294600000,294000000,20100000,275900000,None,422000000,None,-19900000,0,19900000,3429900000,4300000,45100000,25000000,9700000,1600000,19900000,12600000,29000000,20100000,45100000,8100000
PRMW,2019-09-30,USD,326200000,451000000,289900000,289900000,41600000,280800000,None,262600000,None,-20200000,0,20200000,471000000,-3800000,27700000,14700000,17200000,7100000,20200000,7300000,8300000,41600000,56300000,10100000
PRMW,2019-06-30,USD,313100000,604100000,291000000,291000000,24600000,284200000,None,288500000,None,-18800000,0,18800000,602500000,2200000,28300000,16600000,6600000,2200000,18800000,4400000,4400000,24600000,41200000,4400000
PRMW,2019-03-31,USD,282900000,574100000,291200000,291200000,4100000,272100000,None,278800000,None,-19300000,0,19300000,572200000,-5500000,26400000,14000000,-21100000,-1400000,19300000,-19700000,-19700000,4100000,18100000,-19700000
PRMW,2018-12-31,USD,290200000,599200000,309000000,51040000,4200000,275900000,None,286000000,None,-19300000,0,19300000,593600000,9900000,None,18100000,-8100000,-8800000,19300000,3600000,700000,4200000,22300000,700000
PRMW,2018-09-30,USD,310500000,609300000,298800000,58312000,27800000,279900000,None,282700000,None,-18900000,0,18900000,608100000,600000,None,18400000,11000000,1000000,18900000,8500000,10000000,27800000,46200000,10000000
PRMW,2018-06-30,USD,301400000,603600000,302200000,302200000,20700000,275200000,None,280700000,None,-18600000,0,18600000,602300000,12200000,None,17500000,12900000,2100000,18600000,12200000,10800000,20700000,38200000,10800000
PRMW,2018-03-31,USD,273500000,560800000,287300000,53421000,6100000,261100000,None,267400000,None,-20800000,0,20800000,559500000,20200000,None,17000000,362300000,900000,13700000,4600000,361400000,6100000,23100000,361400000
PRMW,2017-12-31,USD,279000000,544200000,292300000,48712000,0,264900000,None,296900000,None,-23400000,0,23400000,-3700000,1900000,None,17900000,-13900000,-31000000,23400000,9500000,15400000,0,17900000,17100000
PRMW,2017-09-30,USD,292800000,-174400000,288100000,57273000,27200000,262800000,None,194300000,None,6900000,30100000,23200000,30800000,-1500000,None,6000000,43400000,900000,-37100000,1600000,46700000,27200000,33200000,42500000
PRMW,2017-06-30,USD,342300000,1014100000,671800000,54079000,30600000,299700000,None,335000000,None,-33300000,0,33300000,-22600000,-18200000,None,23300000,-23200000,1400000,51900000,-22300000,-15800000,30600000,53900000,-24600000
PRMW,2017-03-31,USD,310600000,896400000,585800000,42814000,10800000,291100000,None,299800000,None,-35700000,0,35700000,-11500000,-8400000,None,15500000,-35300000,1100000,45800000,-34400000,-24200000,10800000,26300000,-36400000
PRMW,2016-12-31,USD,301800000,854700000,585600000,28834000,-3700000,296000000,None,322700000,None,-35000000,0,35000000,2300000,-1500000,None,18400000,-46900000,31100000,35000000,-76100000,-99900000,-3700000,14700000,-78000000
PRMW,2016-09-30,USD,305800000,849900000,579300000,24435000,34600000,263000000,None,294000000,None,-34400000,0,34400000,-800000,-3200000,None,22800000,1900000,5800000,34400000,-2400000,-9100000,34600000,57400000,-3900000
PRMW,2016-06-30,USD,252600000,765000000,512400000,23968000,36600000,202100000,None,235100000,None,-27000000,0,27000000,-2200000,-3000000,None,19100000,5100000,-2300000,27000000,8900000,-4600000,36600000,55700000,7400000
PRMW,2016-03-31,USD,214000000,698400000,484400000,22947000,14700000,197000000,None,218500000,None,-27800000,0,27800000,-900000,2200000,None,19200000,-12300000,-9000000,27800000,-1900000,-5900000,14700000,33900000,-3300000
