SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
QUNR,2016-06-30,USD,None,155109000,34760000,34760000,None,205302000,77726000,None,None,None,None,9827000,None,None,None,None,None,None,None,None,None,None,None,None
QUNR,2016-03-31,USD,None,154020000,28873000,28873000,None,277090000,125959000,None,None,None,None,9252000,None,None,None,None,None,1205000,None,None,None,None,None,None
QUNR,2015-12-31,USD,None,185079000,69815000,69815000,None,866605000,230831000,None,None,None,None,9975000,None,None,None,None,None,1721000,None,None,None,None,None,None
QUNR,2015-09-30,USD,None,208499000,73876000,73876000,None,234098000,64329000,None,None,None,None,8472000,None,None,None,None,None,655000,None,None,None,None,None,None
QUNR,2015-06-30,USD,None,142090000,35254000,35254000,None,214398000,56579000,None,None,None,None,2724000,None,None,None,None,None,515000,None,None,None,None,None,None
QUNR,2015-03-31,USD,None,108256000,25009000,25009000,None,145456000,46317000,None,None,None,None,229000,None,None,None,None,None,626000,None,None,None,None,None,None
QUNR,2014-12-31,USD,None,82986000,18866000,18866000,None,157102000,38651000,None,None,None,None,None,None,None,None,None,None,1247000,None,None,None,None,None,None
QUNR,2014-09-30,USD,None,81643000,20013000,20013000,None,152818000,37398000,None,None,None,None,None,None,None,None,None,None,633000,None,None,None,None,None,None
QUNR,2014-06-30,USD,None,64543000,15469000,15469000,None,116658000,29271000,None,None,None,None,None,None,None,None,None,None,579000,None,None,None,None,None,None
QUNR,2014-03-31,USD,None,53966000,10580000,10580000,None,70178000,19509000,None,None,None,None,None,None,None,None,None,None,371000,None,None,None,None,None,None
QUNR,2013-12-31,USD,None,42530000,7496000,7496000,None,50646000,18203000,None,None,None,None,17000,None,None,None,None,None,4355000,None,None,None,None,None,None
QUNR,2013-09-30,USD,None,39570000,7262000,7262000,None,37369000,14876000,None,None,None,None,59000,None,None,None,None,None,2297000,None,None,None,None,None,None
QUNR,2013-06-30,USD,None,29049000,5443000,5443000,None,27536000,10613000,None,None,None,None,173000,None,None,None,None,None,1892000,None,None,None,None,None,None
QUNR,2013-03-31,USD,None,29413000,4686000,4686000,2148000,21721000,9007000,None,None,None,None,109000,None,None,None,None,2154000,None,None,None,None,None,None,3910000
QUNR,2012-12-31,USD,None,23629000,4049000,4049000,None,21144000,8861000,None,None,None,None,68000,None,None,None,None,None,584000,None,None,None,None,None,None
QUNR,2012-09-30,USD,None,24703000,3407000,3407000,None,21908000,8372000,None,None,None,None,None,None,None,None,None,None,107000,None,None,None,None,None,None
QUNR,2012-06-30,USD,None,17087000,2669000,2669000,None,18780000,7056000,None,None,None,None,None,None,None,None,None,None,1150000,None,None,None,None,None,None
QUNR,2012-03-31,USD,None,15113000,2541000,2541000,None,15476000,5769000,None,None,None,None,None,None,None,None,None,None,720000,None,None,None,None,None,None
QUNR,2011-12-31,USD,None,13524000,1876000,1876000,None,12757000,4582000,None,None,None,None,None,None,None,None,None,None,639000,None,None,None,None,None,None
QUNR,2011-09-30,USD,None,12394000,1674000,1674000,None,11534000,4413000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
QUNR,2011-06-30,USD,None,8774000,1257000,1257000,None,10532000,2533000,None,None,None,None,None,None,None,None,None,None,706000,None,None,None,None,None,None
