SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
RLD,2015-12-31,USD,26963000,50373000,23410000,23410000,1294000,21562000,4107000,25669000,None,None,None,425000,None,-659000,None,None,210000,4492000,None,-4282000,None,635000,None,-4282000
RLD,2015-09-30,USD,17925000,38452000,20527000,20527000,-5888000,20160000,3653000,23813000,None,None,None,416000,None,-1928000,None,None,-8232000,-316000,None,-7916000,None,-7816000,None,-7916000
RLD,2015-06-30,USD,30940000,53569000,22629000,22629000,9990000,18297000,2818000,21115000,None,None,None,354000,None,347000,None,None,9818000,2494000,None,7324000,None,10172000,None,7324000
RLD,2015-03-31,USD,10925000,27905000,17176000,17176000,-13088000,19336000,4782000,24013000,None,None,None,356000,None,-155000,None,None,-13599000,2792000,None,-16391000,None,-13243000,None,-16466000
RLD,2014-12-31,USD,14963000,32571000,17608000,17608000,-6655000,17036000,4582000,21618000,None,None,None,393000,None,-3088000,None,None,-10136000,1154000,None,-11290000,None,-9743000,None,-11290000
RLD,2014-09-30,USD,24907000,47768000,22505000,22505000,1900000,16582000,6392000,23007000,None,None,None,455000,None,-1336000,None,None,109000,1676000,None,-1567000,None,564000,None,-1567000
RLD,2014-06-30,USD,29983000,55219000,25396000,25396000,8599000,18135000,3718000,21925000,None,None,None,472000,None,160000,None,None,8216000,2287000,None,5501000,None,8218000,None,5929000
RLD,2014-03-31,USD,19902000,40648000,20746000,20746000,-2223000,17905000,4220000,22125000,None,None,None,490000,None,-906000,None,None,-3619000,1236000,None,-4855000,None,-3129000,None,-4950000
RLD,2013-12-31,USD,27270000,55438000,28168000,28168000,2031000,20003000,5236000,25239000,None,None,None,525000,None,-47000,None,None,1459000,1614000,None,-155000,None,1984000,None,-271000
RLD,2013-09-30,USD,19906000,43929000,24023000,24023000,-2844000,18065000,4685000,22750000,None,None,None,751000,None,483000,None,None,-3112000,1552000,None,-4664000,None,-2361000,None,-4651000
RLD,2013-06-30,USD,28181000,59219000,31038000,31038000,877000,21760000,5544000,27304000,None,None,None,489000,None,-209000,None,None,179000,1715000,None,-1536000,None,668000,None,-1534000
RLD,2013-03-31,USD,20274000,45449000,25175000,25175000,-2741000,18427000,4588000,23015000,None,None,None,456000,None,-425000,None,None,-3622000,822000,None,-4444000,None,-3166000,None,-4336000
RLD,2012-12-31,USD,20919000,46939000,26020000,26020000,-2856000,18399000,5376000,23775000,None,None,None,426000,None,-183000,None,None,-3465000,694000,None,-4159000,None,-3039000,None,-4160000
RLD,2012-09-30,USD,17654000,54986000,37332000,37332000,-5051000,18113000,4592000,22705000,None,None,None,288000,None,-21000,None,None,-5360000,-1129000,None,-4231000,None,-5072000,None,-4173000
RLD,2012-06-30,USD,31345000,68178000,36833000,36833000,8290000,18157000,4898000,23055000,None,None,None,313000,None,-353000,None,None,7624000,4677000,None,2947000,None,7937000,None,2979000
RLD,2012-03-31,USD,26895000,50047000,23152000,23152000,3254000,19877000,3764000,23641000,None,None,None,261000,None,625000,None,None,3618000,-2065000,None,5683000,None,3879000,None,5536000
RLD,2011-12-31,USD,23954000,49026000,25072000,25072000,1541000,18077000,4336000,22413000,None,None,None,227000,None,-792000,None,None,522000,-2241000,None,2763000,None,749000,None,2833000
RLD,2011-09-30,USD,42522000,87995000,45473000,45473000,22509000,16258000,3755000,20013000,None,None,None,272000,None,1099000,None,None,23336000,4159000,None,19177000,None,23608000,None,18905000
RLD,2011-06-30,USD,35319000,59560000,24241000,24241000,15015000,15659000,4645000,20304000,None,None,None,211000,None,-150000,None,None,14654000,5252000,None,9402000,None,14865000,None,9595000
RLD,2011-03-31,USD,None,58514000,23328000,23328000,5518000,24359000,4831000,None,None,None,None,46000,None,None,None,None,5278000,973000,None,None,None,None,None,4467000
RLD,2010-12-31,USD,None,57780000,47258000,47258000,None,20756000,4347000,None,None,None,None,71000,None,None,None,None,None,1648000,None,None,None,None,None,None
