SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
SEAS,2020-12-31,USD,122374000,122374000,0,13157000,-23373000,22492000,None,182420000,None,-31701000,0,31701000,154075000,-291000,None,36540000,-55365000,-9829000,31701000,-45536000,-45536000,-23373000,13167000,-45536000
SEAS,2020-09-30,USD,77972000,77972000,0,9298000,-59486000,24335000,None,153724000,None,-28145000,0,28145000,106117000,2000,None,38052000,-87629000,-8392000,28145000,-79237000,-79237000,-59486000,-21434000,-79237000
SEAS,2020-06-30,USD,-3882000,-3882000,0,1153000,-101230000,21104000,None,118094000,None,-21908000,0,21908000,18026000,1000,None,37941000,-123137000,7892000,21908000,-131029000,-130174000,-101230000,-63289000,-131029000
SEAS,2020-03-31,USD,-19153000,134408000,153561000,13104000,-57574000,26954000,None,197966000,None,-19153000,0,19153000,153561000,12000,None,38013000,-76715000,-20196000,19153000,-56519000,-55815000,-57574000,-19561000,-56519000
SEAS,2019-12-31,USD,-1120348000,277896000,1398244000,21891000,-5289000,87100000,None,278372000,None,-20115000,0,20115000,298011000,-156000,None,40232000,-25560000,-1377000,20115000,-24183000,-23470000,-5289000,34943000,-24183000
SEAS,2019-09-30,USD,452203000,452203000,0,37843000,153528000,64632000,None,281088000,None,-21463000,0,21463000,473666000,86000,None,40822000,132151000,34123000,21463000,98028000,98402000,153528000,194350000,98028000
SEAS,2019-06-30,USD,384189000,405992000,21803000,32006000,96264000,67205000,None,277656000,None,-21803000,0,21803000,405992000,79000,None,40053000,74540000,21889000,21803000,96264000,96264000,96264000,136317000,52651000
SEAS,2019-03-31,USD,-20797000,220575000,241372000,17213000,-31303000,42764000,None,232099000,None,-20797000,0,20797000,220575000,-27000,None,39450000,-52127000,-15107000,20797000,-31303000,-31303000,-31303000,8147000,-37020000
SEAS,2018-12-31,USD,-20940000,280028000,280028000,21592000,10874000,43648000,None,253772000,None,-20940000,0,20940000,280028000,62000,None,41320000,-18154000,-7101000,20940000,10874000,10874000,10874000,52194000,-11053000
SEAS,2018-09-30,USD,-19500000,483175000,483175000,36062000,151730000,51549000,None,296343000,None,-19500000,0,19500000,483175000,59000,None,41187000,132289000,36301000,19500000,151730000,151730000,151730000,192917000,95988000
SEAS,2018-06-30,USD,-20561000,391921000,372008000,31899000,55210000,71003000,None,301121000,None,-20561000,0,20561000,391921000,42000,None,40018000,34691000,11994000,20561000,55210000,55210000,55210000,95228000,22697000
SEAS,2018-03-31,USD,217166000,217166000,17051000,17051000,-66147000,63524000,None,257823000,None,-19913000,0,19913000,217166000,-63000,None,38430000,-86123000,-23279000,19913000,-66147000,-66147000,-66147000,-27717000,-62844000
SEAS,2017-12-31,USD,265505000,265505000,20382000,20382000,-10886000,52496000,None,269434000,None,-20128000,0,20128000,265505000,4000,None,42697000,-31010000,-10569000,20128000,-20441000,-15527000,-10886000,31811000,-20441000
SEAS,2017-09-30,USD,437712000,437712000,31988000,31988000,108822000,54770000,None,289854000,None,-20160000,0,20160000,437712000,108000,None,42230000,88770000,33736000,20160000,55034000,57040000,108822000,151052000,55034000
SEAS,2017-06-30,USD,373750000,373750000,29061000,29061000,-222564000,69152000,None,567253000,None,-19452000,0,19452000,373750000,-83000,None,39500000,-242222000,-66372000,19452000,-175850000,-176556000,-222564000,-183064000,-175850000
SEAS,2017-03-31,USD,186357000,186357000,14483000,14483000,-76735000,52418000,None,250348000,None,-18261000,0,18261000,186357000,86000,None,38867000,-102930000,-41801000,18261000,-61129000,-58725000,-76735000,-37868000,-61129000
SEAS,2016-12-31,USD,267597000,267597000,18875000,18875000,-11539000,42023000,None,254174000,None,-18364000,0,18364000,None,-77000,None,42972000,-29980000,-18075000,18364000,-11905000,-230000,-11539000,31433000,-11905000
SEAS,2016-09-30,USD,485318000,485318000,35854000,35854000,152641000,57148000,None,296927000,None,-15137000,0,15137000,None,-72000,None,40921000,137432000,71777000,15137000,65655000,67144000,152641000,193562000,65655000
SEAS,2016-06-30,USD,371136000,371136000,28913000,28913000,38050000,72032000,None,304173000,None,-14579000,0,14579000,None,-118000,None,40708000,23353000,5585000,14579000,17768000,13297000,38050000,78758000,17768000
SEAS,2016-03-31,USD,220241000,220241000,17001000,17001000,-119567000,67354000,None,329197000,None,-14581000,0,14581000,None,142000,None,75048000,-134006000,-49957000,14581000,-84049000,-93299000,-119567000,-44519000,-84049000
