SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
SFS,2019-03-31,USD,156336000,1044802000,888466000,888466000,1398000,154938000,None,155038000,None,None,None,10578000,None,433000,None,None,-8847000,2170000,None,-11017000,None,1731000,None,-6677000
SFS,2018-12-31,USD,302714000,1102382000,799668000,799668000,10733000,288581000,0,1091649000,None,None,None,-10738000,None,None,None,None,-109446000,12376000,None,-121822000,None,10733000,None,-121822000
SFS,2018-09-30,USD,232449000,1497669000,1265220000,1265220000,22559000,209890000,0,1475110000,None,None,None,-13250000,None,None,None,None,9960000,-200000,None,10160000,None,22559000,None,10160000
SFS,2018-06-30,USD,169717000,1125484000,955767000,955767000,19145000,150572000,0,150572000,None,None,None,9664000,None,373000,None,None,9854000,3253000,None,6601000,None,19145000,None,6601000
SFS,2018-03-31,USD,146262000,1016237000,869975000,869975000,-1168000,146230000,0,147430000,None,None,None,9251000,None,577000,None,None,-9842000,-2748000,None,-7094000,None,-591000,None,-7094000
SFS,2017-12-31,USD,802768000,1067908000,889421000,889421000,17367000,147057000,0,6254641000,None,None,None,8732000,None,None,None,None,-170668000,-26648000,None,-109361000,None,100620000,None,-144020000
SFS,2017-09-30,USD,0,1457353000,1224953000,1224953000,18578000,195285000,0,-2797541000,None,None,None,11229000,None,None,None,None,7711000,2605000,None,-49956000,None,-72630000,None,5106000
SFS,2017-06-30,USD,162270000,1078287000,902811000,902811000,19208000,143062000,0,143062000,None,None,None,8335000,None,47000,None,None,10920000,3792000,None,7128000,None,19255000,None,7128000
SFS,2017-03-31,USD,133111000,967017000,821123000,821123000,-2563000,135674000,0,135674000,None,None,None,8174000,None,167000,None,None,-10570000,-5978000,None,-4425000,None,-2396000,None,-4592000
SFS,2016-12-31,USD,752604000,1000632000,846758000,846758000,5727000,135183000,0,4294854000,None,None,None,7925000,None,None,None,None,5737000,-2037000,None,34405000,None,76688000,None,5915000
SFS,2016-09-30,USD,0,1394429000,1174731000,1174731000,19627000,183402000,0,0,None,None,None,9977000,None,None,None,None,5174000,-3432000,None,-34269000,None,-37287000,None,7033000
SFS,2016-06-30,USD,157214000,1038281000,869504000,869504000,18395000,138819000,0,138819000,None,None,None,7441000,None,284000,None,None,11238000,3432000,None,7806000,None,18679000,None,7806000
SFS,2016-03-31,USD,128351000,908453000,769913000,769913000,3269000,125082000,0,125082000,None,None,None,7311000,None,444000,None,None,-3598000,-1580000,None,-2018000,None,3713000,None,-2018000
SFS,2015-12-31,USD,697160000,997626000,840150000,840150000,22000000,125873000,0,3874702000,None,None,None,7680000,None,None,None,None,14653000,4692000,None,38262000,None,96278000,None,9961000
SFS,2015-09-30,USD,0,1246063000,1046467000,1046467000,30199000,157040000,0,0,None,None,None,9333000,None,None,None,None,21004000,8624000,None,0,None,0,None,12380000
SFS,2015-06-30,USD,141583000,905121000,754969000,754969000,27452000,114131000,0,114131000,None,None,None,7676000,None,392000,None,None,17976000,6938000,None,11038000,None,27844000,None,11038000
SFS,2015-03-31,USD,122165000,822170000,691949000,691949000,15214000,106951000,0,106951000,None,None,None,7998000,None,515000,None,None,7731000,2848000,None,4883000,None,15729000,None,4883000
SFS,2014-12-31,USD,562854000,839336000,705867000,705867000,20791000,104220000,0,3445395000,None,None,None,8119000,None,None,None,None,12896000,3623000,None,33118000,None,88849000,None,9273000
SFS,2014-09-30,USD,0,1131821000,950869000,950869000,26043000,143461000,0,0,None,None,None,11725000,None,None,None,None,15195000,4972000,None,0,None,0,None,10223000
SFS,2014-06-30,USD,0,828071000,691879000,691879000,27309000,100876000,0,0,None,None,None,8922000,None,None,None,None,18034000,6919000,None,0,None,0,None,11115000
SFS,2014-03-31,USD,0,735016000,622775000,622775000,13758000,90831000,0,0,None,None,None,8836000,None,None,None,None,3847000,1340000,None,0,None,0,None,2507000
