SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
SGH,2020-11-30,USD,52644000,291697000,239053000,239053000,7624000,38056000,6964000,45020000,None,-3154000,None,3154000,None,832000,None,None,5302000,3275000,None,2027000,None,8456000,None,2027000
SGH,2020-08-31,USD,56337000,297030000,240693000,240693000,17229000,24820000,8032000,39107000,None,-3264000,None,3264000,None,-299000,None,None,13666000,6138000,None,7528000,None,19034000,None,7528000
SGH,2020-05-31,USD,54233000,281287000,227054000,227054000,10064000,26966000,14436000,44361000,None,-3094000,None,3094000,None,-3445000,None,None,3525000,2700000,None,825000,None,5841000,None,825000
SGH,2020-02-29,USD,51506000,272042000,220536000,220536000,8156000,25882000,14702000,49980000,None,-4150000,None,4150000,None,-12386000,None,None,-8380000,1340000,None,-9720000,None,-9081000,None,-9720000
SGH,2019-11-30,USD,85069000,393879000,308810000,308810000,5881000,25454000,14886000,266137000,None,-4492000,None,4492000,None,-840000,None,None,549000,325000,None,224000,None,54262000,None,224000
SGH,2019-08-31,USD,52292000,278400000,226108000,226108000,8732000,27858000,13536000,40860000,None,-4567000,None,4567000,None,819000,None,None,7684000,2059000,None,5625000,None,12504000,None,5625000
SGH,2019-05-31,USD,43035000,235657000,192622000,192622000,7399000,24306000,11330000,228258000,None,-5001000,-5145000,5001000,None,97000,None,None,2495000,550000,None,1945000,None,14457000,None,1945000
SGH,2019-02-28,USD,57131000,304063000,246932000,246932000,22451000,22481000,11238000,34680000,None,-5273000,None,5273000,None,252000,None,None,17430000,4644000,None,12786000,None,19131000,None,12786000
SGH,2018-11-30,USD,85069000,393879000,308810000,308810000,47799000,25454000,11816000,37270000,None,None,None,5875000,None,-3329000,None,None,38595000,7619000,None,30976000,None,44470000,None,30976000
SGH,2018-08-31,USD,82679000,373970000,291291000,291291000,45416000,29039000,11659000,328554000,None,None,None,-6217000,None,None,None,None,32777000,3059000,None,29718000,None,49488000,None,29718000
SGH,2018-05-31,USD,78054000,335477000,257423000,257423000,48694000,19597000,9763000,29360000,None,None,None,4098000,None,-7145000,None,None,37451000,5505000,None,31946000,None,55436000,None,31946000
SGH,2018-02-28,USD,73017000,313965000,240948000,240948000,45078000,18087000,9852000,27939000,None,None,None,4230000,None,2548000,None,None,43396000,6602000,None,36794000,None,52158000,None,36794000
SGH,2017-11-30,USD,57836000,265409000,207573000,207573000,31468000,17818000,8550000,26368000,None,None,None,4599000,None,-2715000,None,None,24154000,3149000,None,21005000,None,38467000,None,21005000
SGH,2017-08-31,USD,48008000,223019000,175011000,175011000,20569000,17722000,9718000,27440000,None,None,None,6132000,None,None,None,None,-9210000,3758000,None,-15753000,None,30214000,None,-15753000
SGH,2017-05-31,USD,47375000,206974000,159599000,159599000,20385000,18193000,8797000,26990000,None,None,None,8294000,None,-762000,None,None,11329000,3371000,None,7958000,None,19623000,None,7958000
SGH,2017-02-28,USD,0,171954000,128381000,128381000,11891000,22691000,9948000,0,None,None,None,8512000,None,None,None,None,0,2124000,None,0,None,0,None,0
SGH,2016-11-30,USD,0,159344000,124095000,124095000,3603000,23084000,9697000,0,None,None,None,6266000,None,None,None,None,0,661000,None,0,None,0,None,0
SGH,2016-08-31,USD,106932000,146201000,111656000,111656000,3991000,22464000,10353000,527103000,None,None,None,6310000,None,None,None,None,-18429000,294000,None,-19960000,None,7320000,None,-19960000
SGH,2016-05-31,USD,0,149609000,114617000,114617000,5265000,22018000,9667000,0,None,None,None,6326000,None,None,None,None,913000,2258000,None,0,None,0,None,0
SGH,2016-02-29,USD,0,116961000,89398000,89398000,0,19838000,8960000,0,None,None,None,6434000,None,None,None,None,0,-532000,None,0,None,0,None,0
SGH,2015-11-30,USD,0,121652000,93708000,93708000,0,21924000,9136000,0,None,None,None,6505000,None,None,None,None,0,532000,None,0,None,0,None,0
