SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
SSNI,2017-09-30,USD,13805000,47568000,33763000,33763000,-26781000,24580000,15971000,40586000,None,None,None,None,None,761000,None,None,-26020000,-793000,None,-25227000,-25271000,-26020000,None,-25227000
SSNI,2017-06-30,USD,56538000,261572000,205034000,205034000,18285000,19774000,17272000,38253000,None,None,None,None,None,9000,None,None,18294000,-332000,None,18626000,18712000,18294000,None,18626000
SSNI,2017-03-31,USD,16913000,50263000,33350000,33350000,-23144000,21369000,18641000,40057000,None,None,None,None,None,543000,None,None,-22601000,570000,None,-23171000,-23153000,-22601000,None,-23171000
SSNI,2016-12-31,USD,28417000,66250000,37833000,37833000,-13531000,22858000,19090000,41948000,None,None,None,7000,None,-210000,None,None,-13748000,239000,None,-13987000,-14212000,-13741000,None,-13987000
SSNI,2016-09-30,USD,28242000,74186000,45944000,45944000,-14219000,22092000,18165000,42461000,None,None,None,7000,None,113000,None,None,-14106000,1143000,None,-15249000,-15411000,-14106000,None,-15249000
SSNI,2016-06-30,USD,64543000,121952000,57409000,57409000,26749000,19861000,17933000,37794000,None,None,None,7000,None,333000,None,None,27082000,961000,None,26121000,26026000,27082000,None,26121000
SSNI,2016-03-31,USD,16997000,48620000,31623000,31623000,-18923000,20396000,15485000,35920000,None,None,None,None,None,441000,None,None,-18482000,32000,None,-18514000,-18373000,-18482000,None,-18514000
SSNI,2015-12-31,USD,101345000,199247000,97902000,97902000,65745000,21826000,13714000,35600000,None,None,None,52000,None,-107000,None,None,65586000,3708000,None,61878000,61651000,65638000,None,61878000
SSNI,2015-09-30,USD,32987000,287157000,36518000,36518000,-394000,17205000,15837000,33381000,None,None,None,None,None,-99000,None,None,-493000,129000,None,-622000,-703000,-493000,None,-622000
SSNI,2015-06-30,USD,19956000,77167000,57211000,57211000,-16539000,19367000,16050000,36495000,None,None,None,None,None,74000,None,None,-16465000,-290000,None,-16175000,-16090000,-16465000,None,-16175000
SSNI,2015-03-31,USD,71455000,143640000,72185000,72185000,34141000,21426000,15694000,37314000,None,None,None,None,None,288000,None,None,34429000,-476000,None,34905000,34135000,34429000,None,34905000
SSNI,2014-12-31,USD,30178000,77411000,47233000,47233000,1392000,16167000,12718000,28786000,None,None,None,248000,None,316000,None,None,1460000,959000,None,501000,501000,1708000,None,501000
SSNI,2014-09-30,USD,1303000,-14275000,26738000,26738000,-37420000,19849000,16986000,38723000,None,None,None,-7000,None,None,None,None,-37413000,-140000,None,-37273000,-37272000,-37420000,None,-37273000
SSNI,2014-06-30,USD,13412000,41607000,28195000,28195000,-24672000,20742000,17342000,38084000,None,None,None,-85000,None,None,None,None,-24587000,4000,None,-24591000,-24591000,-24672000,None,-24591000
SSNI,2014-03-31,USD,11444000,44229000,32785000,32785000,-27171000,20890000,17725000,38615000,None,None,None,37000,None,None,None,None,-27208000,599000,None,-27807000,-27874000,-27171000,None,-27807000
SSNI,2013-12-31,USD,33744000,97164000,63420000,61764000,-48000,17625000,16167000,33792000,None,None,None,-91000,None,47000,None,None,90000,-268000,None,358000,358000,-1000,None,358000
SSNI,2013-09-30,USD,23226000,72481000,49255000,49255000,-12115000,18361000,16980000,35341000,None,None,None,54000,None,None,None,None,-12169000,100000,None,-12269000,-12200000,-12115000,None,-12269000
SSNI,2013-06-30,USD,48250000,103510000,55260000,55260000,9982000,19516000,18752000,38268000,None,None,None,184000,None,None,None,None,9798000,328000,None,9470000,9530000,9982000,None,9470000
