SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
STG,2020-12-31,CNY,486738000,584579000,97841000,97841000,-186970000,663110000,10598000,771549000,None,4168000,6894000,2726000,None,None,None,None,-74276000,1113000,None,-73512000,None,-71550000,None,-73153000
STG,2020-09-30,CNY,448703000,541631000,92928000,92928000,-215386000,645524000,18565000,757017000,None,2940000,2940000,2838000,None,None,None,None,-165193000,369000,None,-165764000,None,-162355000,None,-165684000
STG,2020-06-30,CNY,412891000,512482000,99591000,99591000,-147097000,544018000,15970000,559988000,None,3376000,3376000,2941000,None,None,None,None,-126200000,-224000,None,-126149000,None,-123042000,None,-126194000
STG,2020-03-31,CNY,468187000,565099000,96912000,96912000,-99565000,546357000,21395000,567752000,None,3633000,3633000,3187000,None,None,None,None,-66904000,-1494000,None,-65563000,None,-63372000,None,-65511000
STG,2019-12-31,CNY,448210000,549722000,101512000,101512000,-150778000,574693000,24295000,598988000,None,5838000,5838000,3365000,None,0,None,None,-138046000,2440000,None,-139537000,None,-131185000,None,-139463000
STG,2019-09-30,CNY,413621000,527275000,113654000,113654000,-133302000,520503000,26420000,546923000,None,-1543000,-1543000,3562000,None,0,None,None,-129738000,0,None,-129813000,None,-131164000,None,-129621000
STG,2019-06-30,CNY,457013000,552690000,95677000,95677000,-41657000,474625000,24045000,498670000,None,20981000,20981000,3654000,None,0,None,None,-11695000,0,None,-12885000,None,8188000,None,-12793000
STG,2019-03-31,CNY,478742000,564215000,85473000,85473000,-133986000,585771000,26957000,612728000,None,20578000,20578000,3731000,None,0,None,None,-113110000,0,None,-112930000,None,-92362000,None,-112940000
STG,2018-12-31,CNY,490284000,568799000,78515000,78515000,-4425456.57,672713000,569728.53,699669000,None,None,None,-45885.17,None,0,None,None,-3881914.93,0,None,-3881914.93,None,-162417000,None,-3881893.79
STG,2018-09-30,USD,424362000,517015000,92653000,92653000,-839206.81,673165000,71502.41,696338000,None,None,None,-6698.82,None,0,None,None,-698155.17,0,None,-698155.17,None,-202137000,None,-696667.92
STG,2018-06-30,USD,393300000,481800000,88500000,88500000,-44239202.16,674000000,2145620.88,688300000,None,None,None,-325584.88,None,0,None,None,-40759298.14,0,None,-40759298.14,None,-255600000,None,-40797390.52
STG,2018-03-31,USD,335700000,406400000,70700000,70700000,-40217498.61,576700000,1844757.58,588300000,None,None,None,-345673.12,None,None,None,None,-39047209.62,0,None,-39047209.62,None,-238700000,None,-39095135.74
STG,2017-12-31,USD,136200000,155600000,19400000,19400000,-668158000,231400000,1939000,236100000,None,None,None,-2171000,None,None,None,None,-659573000,0,None,-659573000,None,-93500000,None,-659453000
STG,2017-09-30,USD,355547000,39686000,6393000,6393000,-359390000,71973000,1484000,779069000,None,None,None,0,None,None,None,None,-358503000,0,None,-358503000,None,-359390000,None,-358475000
STG,2017-06-30,USD,-293853000,30708000,3740000,3740000,217584500,46936000,942000,-553953000,None,None,None,0,None,None,None,None,215249000,0,None,215249000,None,217584500,None,215216000
STG,2017-03-31,USD,157642000,22611000,2611000,2611000,-117714500,34298000,686000,298446000,None,None,None,0,None,None,None,None,-115887000,0,None,-115887000,None,-117714500,None,-115866000
STG,2016-12-31,USD,347924000,17190000,2683000,2683000,-259041000,24038000,512000,677951000,None,None,None,-2171000,None,None,None,None,-253567000,0,None,-253567000,None,-259041000,None,-253567000
STG,2016-09-30,USD,0,16915000,3361000,3361000,0,23066000,532000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
STG,2016-06-30,USD,0,13913000,2366000,2366000,0,21083000,493000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
STG,2016-03-31,USD,0,12318000,1814000,1814000,0,19234000,470000,0,None,None,None,0,None,None,None,None,0,0,None,0,None,0,None,0
STG,2015-12-31,USD,97297000,24547000,8948000,8948000,-317167000,63982000,801000,476177000,None,None,None,-2171000,None,None,None,None,-315583000,0,None,-315583000,None,-317167000,None,-318302000
