SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
TCBI,2020-12-31,USD,235716000,235716000,32000000,None,214741000,27304000,None,20975000,None,223010000,255163000,32153000,42886000,11313000,None,23209000,83010000,22834000,32153000,60176000,69113000,214741000,None,60176000
TCBI,2020-09-30,USD,239267000,239267000,30000000,None,204797000,59712000,None,34470000,None,207569000,243731000,36162000,60348000,8053000,None,20396000,72176000,15060000,36162000,57116000,63477000,204797000,None,57116000
TCBI,2020-06-30,USD,183342000,183342000,100000000,None,97984000,74872000,None,85358000,None,209928000,252010000,42082000,70502000,-5435000,None,18198000,-41922000,-7606000,42082000,-34316000,-38609000,97984000,None,-34316000
TCBI,2020-03-31,USD,141122000,141122000,96000000,None,69237000,51615000,None,71885000,None,228319000,306008000,77689000,11780000,-5292000,None,13122000,-21318000,-4631000,77689000,-16687000,-20868000,69237000,None,-16687000
TCBI,2019-12-31,USD,249653000,249653000,17000000,None,184580000,56845000,None,65073000,None,248385000,337757000,89372000,17761000,None,None,11513000,90456000,16539000,89372000,75271000,75210000,184580000,None,73917000
TCBI,2019-09-30,USD,261506000,261506000,11000000,None,206390000,49105000,None,55116000,None,252168000,355101000,102933000,20301000,884000,None,9816000,112099000,23958000,102933000,88082000,88780000,206390000,None,88141000
TCBI,2019-06-30,USD,240917000,240917000,27000000,None,240917000,47480000,None,47480000,None,243553000,346893000,103340000,24364000,9921000,None,8146000,99356000,21387000,103340000,77969000,77969000,240917000,None,77969000
TCBI,2019-03-31,USD,245628000,245628000,20000000,None,245628000,43303000,None,43808000,None,235614000,325561000,89947000,30014000,-53000,None,7792000,105250000,22411000,89947000,82839000,82839000,245628000,None,82839000
TCBI,2018-12-31,USD,220953000,220953000,35000000,116045000,220953000,-157480000,None,-149258000,None,240673000,321718000,81045000,15280000,2397000,None,7246000,91091000,19200000,81045000,71891000,71891000,220953000,None,71891000
TCBI,2018-09-30,USD,244693000,244693000,13000000,82579000,244693000,114102000,None,114636000,None,232175000,301754000,69579000,25518000,-2223000,None,8562000,108550000,22998000,69579000,85552000,85552000,244693000,None,85552000
TCBI,2018-06-30,USD,221991000,221991000,27000000,82140000,221991000,108793000,None,108793000,None,231712000,286852000,55140000,17279000,-104000,None,7974000,89860000,18424000,55140000,71436000,71436000,221991000,None,71436000
TCBI,2018-03-31,USD,218247000,218247000,12000000,55569000,218247000,102611000,None,105069000,None,210300000,253869000,43569000,19947000,-63000,None,8240000,91287000,19342000,43569000,71945000,71945000,218247000,None,71945000
TCBI,2017-12-31,USD,226023000,228023000,2000000,40870000,102338000,116025000,None,123685000,None,210649000,249519000,38870000,19374000,-3000,None,8247000,94885000,50143000,38870000,44742000,44741000,102338000,None,44742000
TCBI,2017-09-30,USD,183364000,203364000,20000000,53282000,88495000,93957000,None,94869000,None,204361000,237643000,33282000,19003000,52000,None,7278000,88534000,29850000,33282000,58684000,58718000,88495000,None,58684000
TCBI,2017-06-30,USD,175728000,188728000,13000000,38232000,80869000,94859000,None,94859000,None,182959000,208191000,25232000,18769000,-33000,None,6130000,76914000,25819000,25232000,51095000,51073000,80869000,None,51095000
TCBI,2017-03-31,USD,162469000,171469000,9000000,29587000,73458000,88023000,None,89011000,None,163359000,183946000,20587000,17110000,3000,None,6216000,65375000,22833000,20587000,42542000,42544000,73458000,None,42542000
TCBI,2016-12-31,USD,172058000,181058000,9000000,26448000,69510000,103312000,None,102548000,None,171223000,188671000,17448000,18835000,None,None,5635000,74535000,26149000,17448000,48386000,48161000,69510000,None,48386000
TCBI,2016-09-30,USD,139455000,161455000,22000000,37753000,62173000,78601000,None,77282000,None,166739000,182492000,15753000,16716000,-63000,None,5733000,66656000,23931000,15753000,42725000,42685000,62173000,None,42725000
TCBI,2016-06-30,USD,139001000,155001000,16000000,31373000,61250000,77751000,None,77751000,None,157069000,172442000,15373000,13932000,-22000,None,5322000,60746000,21866000,15373000,38880000,38866000,61250000,None,38880000
TCBI,2016-03-31,USD,96080000,126080000,30000000,45020000,23414000,72633000,None,72666000,None,144783000,159803000,15020000,11297000,-38000,None,5124000,39260000,14132000,15020000,25128000,25104000,23414000,None,25128000
