SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
THOR,2019-09-30,USD,None,0,None,None,-13177000,2958000,10219000,13177000,None,None,None,None,None,None,None,None,-12216000,None,None,-12216000,None,-13066000,None,-12216000
THOR,2019-06-30,USD,None,0,None,None,-13465000,3040000,10425000,13465000,None,None,None,None,None,None,None,None,-12370000,None,None,-12370000,None,-13364000,None,-12370000
THOR,2019-03-31,USD,None,0,None,None,-11919000,2355000,9564000,11919000,None,None,None,None,None,None,None,None,-10851000,None,None,-10851000,None,-11919000,None,-10851000
THOR,2018-12-31,USD,0,0,0,0,-8790000,1784000,7006000,8790000,None,None,None,0,None,None,None,None,-28162000,0,None,-28162000,None,-8790000,None,-28162000
THOR,2018-09-30,USD,0,0,0,0,-5931000,1267000,4664000,5931000,None,None,None,0,None,None,None,None,-22254000,0,None,-22254000,None,-5931000,None,-22254000
THOR,2018-06-30,USD,0,0,0,0,-3089500,513500,2576000,3089500,None,None,None,0,None,None,None,None,-3096500,0,None,-3096500,None,-3089500,None,-3096500
THOR,2018-03-31,USD,0,0,0,0,-2190000,425000,1765000,2190000,None,None,None,0,None,None,None,None,-2190000,0,None,-2190000,None,-2190000,None,-2190000
THOR,2017-12-31,USD,0,0,0,0,-4344000,5736000,3948000,4344000,None,None,None,0,None,None,None,None,-4344000,0,None,-4344000,None,-4344000,None,-4344000
THOR,2017-09-30,USD,0,0,0,0,-1506000,458000,1048000,1506000,None,None,None,0,None,None,None,None,-1506000,0,None,-1506000,None,-1506000,None,-1506000
THOR,2016-12-31,USD,0,0,0,0,-3128000,3096000,1886000,3128000,None,None,None,0,None,None,None,None,-3128000,0,None,-3128000,None,-3128000,None,-3128000
THOR,2015-03-31,None,232639000,349599000,0,0,54173000,105982000,72484000,0,None,None,None,0,None,None,None,None,0,15301000,None,0,None,0,None,38549000
THOR,2014-12-31,None,-63212000,105839000,0,0,-2111000,35004000,-26097000,0,None,None,None,0,None,None,None,None,0,1913000,None,0,None,0,None,-2897000
THOR,2014-09-30,None,-106215000,137921000,0,0,-49951000,35974000,-20290000,0,None,None,None,0,None,None,None,None,0,-19127000,None,0,None,0,None,-32755000
THOR,2014-06-30,None,169427000,243760000,0,0,52062000,70978000,46387000,0,None,None,None,0,None,None,None,None,0,17214000,None,0,None,0,None,35652000
THOR,2013-12-31,None,253783000,376377000,0,0,75210000,106595000,71978000,0,None,None,None,0,None,None,None,None,0,22426000,None,0,None,0,None,54422000
THOR,2013-09-30,None,-86645000,121760000,0,0,-34105000,31990000,-20550000,0,None,None,None,0,None,None,None,None,0,-12407000,None,0,None,0,None,-22455000
THOR,2013-06-30,None,172131000,248204000,0,0,56443000,69669000,46019000,0,None,None,None,0,None,None,None,None,0,16410000,None,0,None,0,None,41359000
THOR,2012-12-31,None,209769000,373886000,0,0,42916000,99506000,67347000,0,None,None,None,0,None,None,None,None,0,12084000,None,0,None,0,None,31908000
THOR,2012-09-30,None,-88913000,127660000,0,0,-35055000,34736000,-19122000,0,None,None,None,0,None,None,None,None,0,-13256000,None,0,None,0,None,-22039000
THOR,2012-06-30,None,170519000,245428000,0,0,67801000,63214000,39504000,0,None,None,None,0,None,None,None,None,0,22326000,None,0,None,0,None,46294000
THOR,2011-12-31,None,287651000,422713000,0,0,114160000,107177000,66314000,0,None,None,None,0,None,None,None,None,0,39296000,None,0,None,0,None,71544000
