SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
TLYS,2020-10-31,USD,40660000,140275000,99615000,99615000,3538000,37122000,None,41735000,None,None,None,None,-3000,-28000,None,4584000,3510000,1397000,None,2113000,2130000,3538000,8122000,2113000
TLYS,2020-08-01,USD,41674000,135845000,94171000,94171000,7709000,33965000,None,33965000,None,None,None,None,None,311000,None,4963000,8020000,2754000,None,5266000,5066000,7709000,12672000,5266000
TLYS,2020-05-02,USD,1594000,77289000,75695000,75695000,-28401000,29995000,None,35352000,None,None,None,None,None,409000,None,5024000,-27992000,-10597000,None,-17395000,-17408000,-28401000,-23377000,-17395000
TLYS,2020-02-01,USD,52134000,171571000,120345000,120345000,8495000,43639000,None,49863000,None,None,None,None,None,589000,None,5618000,9084000,2811000,None,6273000,6369000,8495000,14113000,6273000
TLYS,2019-11-02,USD,47171000,154780000,107609000,107609000,7704000,39467000,None,44950000,None,None,None,None,None,911000,None,5044000,8615000,2227000,None,6388000,6269000,7704000,12748000,6388000
TLYS,2019-08-03,USD,51719000,161738000,110019000,110019000,12110000,39609000,None,39609000,None,None,None,None,None,572000,None,5077000,12682000,3398000,None,12110000,12110000,12110000,17187000,9284000
TLYS,2019-05-04,USD,35684000,130303000,94619000,94619000,146000,35538000,None,40757000,None,None,None,None,None,829000,None,5209000,975000,298000,None,146000,146000,146000,5355000,677000
TLYS,2019-02-02,USD,52157000,170582000,118455000,118455000,10934000,41223000,None,46761000,None,None,None,None,None,856000,None,5519000,11790000,3113000,None,8677000,8689000,10934000,16453000,8677000
TLYS,2018-11-03,USD,43656000,146826000,103170000,103170000,6737000,36919000,None,42375000,None,None,None,None,None,585000,None,5463000,7322000,1967000,None,5355000,5483000,6737000,12200000,5355000
TLYS,2018-08-04,USD,50105000,157406000,107301000,107301000,12478000,37627000,None,37627000,None,None,None,None,None,490000,None,5688000,12968000,3279000,None,12478000,12478000,12478000,18166000,9689000
TLYS,2018-05-05,USD,34977000,123634000,88657000,88657000,1331000,33646000,None,39606000,None,None,None,None,None,383000,None,5815000,1714000,491000,None,1331000,1331000,1331000,7146000,1223000
TLYS,2018-02-03,USD,51440000,164296000,170776000,170776000,11441000,40000000,None,45767000,None,None,None,None,None,413000,None,5745000,11854000,5155000,None,6700000,6618000,11441000,17186000,6699000
TLYS,2017-10-28,USD,50094000,152670000,102730000,102730000,14112000,35982000,None,42273000,None,None,None,None,None,375000,None,5740000,14487000,5730000,None,8757000,8751000,14112000,19852000,8757000
TLYS,2017-07-29,USD,40929000,138810000,97881000,97881000,-1239000,42168000,None,42168000,None,None,None,None,None,197000,None,6075000,-1042000,-446000,None,-596000,-537000,-1239000,4836000,-596000
TLYS,2017-04-29,USD,32905000,120943000,88042000,88042000,-329000,33234000,None,39067000,None,None,None,None,None,238000,None,5829000,-91000,70000,None,-161000,-184000,-329000,5500000,-161000
TLYS,2017-01-28,USD,49066000,160206000,168450000,168450000,10398000,38669000,None,44836000,None,None,None,None,None,148000,None,5768000,10546000,4241000,None,6304000,6313000,10398000,16166000,6305000
TLYS,2016-10-29,USD,47969000,152084000,104137000,104137000,10667000,37302000,None,43611000,None,None,None,None,None,103000,None,5848000,10770000,4353000,None,6418000,6443000,10667000,16515000,6417000
TLYS,2016-07-30,USD,38837000,136412000,97575000,97575000,2232000,36605000,None,37405000,None,None,None,None,None,91000,None,5845000,2323000,890000,None,1433000,1452000,2232000,8077000,1433000
TLYS,2016-04-30,USD,32587000,120215000,87631000,87631000,-3967000,36554000,None,43044000,None,None,None,None,None,76000,None,5805000,-3891000,-1146000,None,-2745000,-2755000,-3967000,1838000,-2745000
TLYS,2016-01-30,USD,49957000,159027000,157329000,157329000,9476000,40481000,None,47229000,None,None,None,None,None,12000,None,5817000,9489000,6604000,None,2884000,2902000,9476000,15293000,2885000
