SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
TMDX,2020-12-31,USD,4828000,7627000,2799000,2799000,-5896000,6176000,4548000,10724000,None,-971000,None,971000,8759000,566000,None,None,-6301000,10000,971000,-6279000,-6390000,-5896000,None,-6311000
TMDX,2020-09-30,USD,5038000,7091000,2053000,2053000,-4610000,5493000,4155000,9648000,None,-971000,None,971000,8365000,499000,None,None,-5082000,6000,971000,-5088000,-5140000,-4610000,None,-5088000
TMDX,2020-06-30,USD,1909000,3391000,1482000,1482000,-7861000,5867000,3903000,9770000,None,-1001000,None,1001000,3923000,371000,None,None,-8491000,6000,1001000,-8497000,-8688000,-7861000,None,-8497000
TMDX,2020-03-31,USD,4860000,7530000,2670000,2670000,-8017000,6652000,6225000,12877000,None,-1042000,-742100,1042000,8165000,217000,None,None,-8842000,10000,1042000,-8852000,-8623000,-8017000,None,-8852000
TMDX,2019-12-31,USD,3741000,6057000,2316000,2316000,-8694000,6173000,6262000,12435000,None,-1063000,None,1063000,6655000,590000,None,None,-9167000,10000,1063000,-9137000,-9199000,-8694000,None,-9177000
TMDX,2019-09-30,USD,4216000,7205000,2989000,2989000,-7242000,6519000,4939000,11458000,None,-1084000,None,1084000,7484000,56000,None,None,-8270000,10000,1084000,-8280000,-8202000,-7242000,None,-8280000
TMDX,2019-06-30,USD,3333000,5666000,2333000,2333000,-7705000,6251000,4787000,11038000,None,-1113000,None,1113000,None,247000,None,None,-9185000,10000,None,-9195000,-9186000,-7705000,None,-9195000
TMDX,2019-03-31,USD,2573000,4676000,2103000,2103000,-5962000,4653000,3882000,8535000,None,-1093000,None,1093000,None,-103000,None,None,-6885000,10000,None,-6895000,-6861000,-5962000,None,-6895000
TMDX,2018-12-31,USD,1499000,3544000,2045000,2045000,-6361000,4374000,3486000,7860000,None,None,None,1073000,None,-61000,None,None,-7617000,18000,None,-7635000,-7598000,-6361000,None,-7635000
TMDX,2018-09-30,USD,2132000,4039000,1907000,1907000,-3939000,2799000,3272000,6071000,None,None,None,1076000,None,101000,None,None,-5097000,8000,None,-5105000,-5093000,-3939000,None,-5105000
TMDX,2018-06-30,USD,1179000,2915000,1736000,1736000,-5156000,2902000,3433000,6335000,None,None,None,313000,None,-428000,None,None,-6103000,8000,None,-6111000,-6114000,-5156000,None,-6115000
TMDX,2018-03-31,USD,924000,2519000,1595000,1665500,-4781000,2240000,3465000,5705000,None,None,None,258000,None,175000,None,None,-5500500,7500,None,-5508000,-4903000,-4781000,None,-4901000
