SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
TRAK,2015-06-30,USD,120231000,269458000,149227000,149227000,-3444000,88606000,35069000,123675000,None,None,None,9926000,None,3026000,None,None,-10344000,-1048000,None,-9296000,None,-418000,None,-9296000
TRAK,2015-03-31,USD,None,252754000,104371000,104371000,None,112294000,33260000,None,None,None,None,9628000,None,None,None,None,None,None,None,None,None,None,None,None
TRAK,2014-12-31,USD,101993000,237320000,135327000,135327000,-2212000,77719000,26486000,104205000,None,None,None,8622000,None,-9057000,None,None,-10581000,-4221000,None,-6360000,None,-11269000,None,-6360000
TRAK,2014-09-30,USD,108275000,233520000,125245000,125245000,9135000,72689000,26451000,99140000,None,None,None,9093000,None,2330000,None,None,2372000,264000,None,2108000,None,11465000,None,2108000
TRAK,2014-06-30,USD,105306000,224767000,119461000,119461000,3533000,74637000,27136000,101773000,None,None,None,9837000,None,2136000,None,None,-4168000,-2793000,None,-1375000,None,5669000,None,-1375000
TRAK,2014-03-31,USD,68901000,158808000,89907000,89907000,-22633000,67486000,24048000,91534000,None,None,None,5910000,None,12262000,None,None,-16281000,-4639000,None,-11642000,None,-10371000,None,-11642000
TRAK,2013-12-31,USD,126111000,126111000,38247000,38247000,-4238000,126794000,3555000,130349000,None,None,None,3324000,None,1774000,None,None,-5788000,-2082000,None,-3706000,None,-2464000,None,-3706000
TRAK,2013-09-30,USD,124582000,124582000,37766000,37766000,6912000,113718000,3952000,117670000,None,None,None,3229000,None,2134000,None,None,5817000,22000,None,5795000,None,9046000,None,5795000
TRAK,2013-06-30,USD,121782000,121782000,37073000,37073000,7629000,110089000,4064000,114153000,None,None,None,3345000,None,1458000,None,None,5742000,1903000,None,3839000,None,9087000,None,3839000
TRAK,2013-03-31,USD,109059000,109059000,34313000,34313000,751000,104678000,3630000,108308000,None,None,None,3364000,None,1409000,None,None,-1204000,-1170000,None,-34000,None,2160000,None,-34000
TRAK,2012-12-31,USD,101775000,101775000,44339000,44339000,1481000,97924000,2370000,100294000,None,None,None,3222000,None,-26524000,None,None,-572000,-1071000,None,499000,None,-25043000,None,499000
TRAK,2012-09-30,USD,99088000,99084000,42743000,42743000,5428000,90782000,2874000,93656000,None,None,None,3214000,None,-4661000,None,None,-2443000,488000,None,-2931000,None,767000,None,-2931000
TRAK,2012-06-30,USD,96396000,96396000,40764000,40764000,5673000,87779000,2944000,90723000,None,None,None,3208000,None,-597000,None,None,7368000,1443000,None,5925000,None,5076000,None,5925000
TRAK,2012-03-31,USD,91617000,91617000,41171000,41171000,1345000,86728000,3544000,90272000,None,None,None,1157000,None,28162000,None,None,28350000,11389000,None,16961000,None,29507000,None,16961000
TRAK,2011-12-31,USD,91259000,91259000,38963000,38963000,2334000,85087000,3263000,88925000,None,None,None,349000,None,48415000,None,None,50607000,17727000,None,32880000,None,50749000,None,32880000
TRAK,2011-09-30,USD,95793000,95793000,39248000,39248000,7044000,85088000,3278000,88749000,None,None,None,334000,None,143000,None,None,6859000,1498000,None,5361000,None,7187000,None,5361000
TRAK,2011-06-30,USD,89460000,89051000,35571000,35571000,5878000,79673000,3118000,83173000,None,None,None,212000,None,176000,None,None,6251000,4085000,None,2166000,None,6054000,None,2166000
TRAK,2011-03-31,USD,77191000,77191000,32682000,32682000,-1018000,74467000,3353000,78209000,None,None,None,32000,None,278000,None,None,-772000,-25500000,None,24728000,None,-740000,None,24728000
TRAK,2010-12-31,USD,None,62006000,22213000,22213000,4319000,26196000,3095000,None,None,None,None,20000,None,None,None,None,3350000,29797000,None,None,None,None,None,None
TRAK,2010-09-30,USD,63128000,63128000,23666000,23666000,2411000,57363000,3354000,60717000,None,None,None,36000,None,322000,None,None,2697000,1515000,None,1182000,None,2733000,None,1182000
TRAK,2010-06-30,USD,61907000,61907000,24359000,24359000,43000,58525000,3339000,61864000,None,None,None,60000,None,399000,None,None,382000,499000,None,-117000,None,442000,None,-117000
