SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
TRNO,2020-12-31,USD,48879000,48879000,0,13026000,30666000,6936000,None,18213000,None,-4195000,0,4195000,None,68000,None,11192000,13513000,None,4195000,26539000,13598000,30666000,41858000,13513000
TRNO,2020-09-30,USD,47147000,47147000,0,12228000,29770000,5130000,None,17377000,None,-3887000,0,3887000,None,9067000,None,12124000,22722000,None,3887000,34950000,22772000,29770000,41894000,22722000
TRNO,2020-06-30,USD,45742000,45742000,0,11934000,28607000,5665000,None,17135000,None,-3909000,0,3909000,None,17940000,None,11459000,30704000,None,3909000,42638000,30750000,28607000,40066000,30704000
TRNO,2020-03-31,USD,45116000,45116000,0,11908000,28206000,5758000,None,16910000,None,-3963000,43000,4006000,None,564000,None,11100000,12856000,None,4006000,24764000,12929000,28206000,39306000,12856000
TRNO,2019-12-31,USD,45015000,45015000,0,11808000,27099000,6072000,None,17916000,None,-4027000,42000,4069000,None,3599000,None,11847000,14821000,None,4258000,26629000,14905000,27099000,38946000,14821000
TRNO,2019-09-30,USD,43397000,43397000,0,10991000,27113000,5132000,None,16284000,None,-3909000,43000,3952000,None,2614000,None,11105000,14784000,None,3952000,25775000,14869000,27113000,38218000,14784000
TRNO,2019-06-30,USD,41730000,41730000,0,10709000,41730000,6757000,None,17406000,None,-4053000,0,4053000,None,817000,None,10648000,10379000,None,4053000,38494000,38494000,41730000,52378000,10379000
TRNO,2019-03-31,USD,40880000,40880000,0,10693000,40880000,5963000,None,16378000,None,-3860000,404000,4264000,None,5987000,None,10415000,15532000,None,4264000,42603000,42603000,40880000,51295000,15532000
TRNO,2018-12-31,USD,39413000,39413000,0,10296000,39413000,6371000,None,16616000,None,-4347000,147000,4494000,None,14966000,None,10250000,22973000,None,4494000,49884000,49884000,39413000,33047000,22972000
TRNO,2018-09-30,USD,37899000,37899000,28221000,9486000,37899000,5047000,None,15226000,None,-4259000,147000,4406000,None,1341000,None,10057000,10122000,None,4406000,34834000,34834000,37899000,4509000,10122000
TRNO,2018-06-30,USD,37238000,37238000,10313000,10313000,37238000,5007000,None,14786000,None,-4626000,None,4626000,None,12624000,None,9774000,20137000,None,4626000,45236000,45236000,37238000,46193000,20137000
TRNO,2018-03-31,USD,37107000,37107000,9893000,9893000,37107000,5078000,None,15815000,None,-4685000,None,4685000,None,3343000,None,10735000,10057000,None,4685000,35765000,35765000,37107000,46183000,10057000
TRNO,2017-12-31,USD,46782000,56634000,9852000,9852000,32337000,4431000,None,14445000,None,-4691000,None,4691000,None,5199000,None,10015000,10836000,None,4691000,32845000,10870000,32337000,42352000,10836000
TRNO,2017-09-30,USD,46555000,55578000,9023000,9023000,31919000,5041000,None,14636000,None,-4514000,None,4514000,None,15466000,None,9595000,20933000,None,4514000,42871000,20941000,31919000,41514000,20933000
TRNO,2017-06-30,USD,46230000,54682000,8452000,8452000,31114000,6030000,None,15116000,None,-3806000,None,3806000,None,10123000,None,9076000,15527000,None,3806000,37431000,15459000,31114000,40190000,15527000
TRNO,2017-03-31,USD,43595000,52142000,8547000,8547000,30231000,4179000,None,13364000,None,-3766000,None,3766000,None,35000,None,9184000,5799000,None,3766000,26500000,5677000,30231000,39415000,5799000
TRNO,2016-12-31,USD,41234000,49415000,8181000,8181000,25044000,6015000,None,16190000,None,-3642000,None,3642000,None,5000,None,9185000,1832000,None,3642000,1832000,2040000,25044000,34229000,1832000
TRNO,2016-09-30,USD,37600000,44888000,7288000,7288000,22466000,5566000,None,15134000,None,-3265000,None,3265000,None,1653000,None,8872000,3070000,None,3504000,20854000,3074000,22466000,31338000,3070000
TRNO,2016-06-30,USD,36154000,43256000,7102000,7102000,23292000,4298000,None,12862000,None,-3076000,None,3076000,None,6000,None,8080000,2783000,None,3076000,20222000,2670000,23292000,31372000,2783000
TRNO,2016-03-31,USD,34831000,42585000,7754000,7754000,22170000,3440000,None,12661000,None,-3070000,None,3070000,None,5261000,None,8262000,7433000,None,3070000,24361000,7232000,22170000,30432000,7433000
