SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
TTPH,2019-12-31,USD,0,0,1432000,1432000,-11542000,9266000,2534000,13232000,87000,0,0,0,None,83000,None,113000,-11372000,None,0,-20638000,-41276000,-11372000,None,-11372000
TTPH,2019-09-30,USD,-2218000,-2218000,980000,980000,-14338000,11350000,5348000,17678000,252000,-650000,0,650000,None,-1316000,None,115000,-16304000,None,2218000,-32354000,-16304000,-15654000,None,-16304000
TTPH,2019-06-30,USD,-975000,-975000,406000,406000,-22612000,15113000,8166000,23685000,416000,-975000,0,975000,None,666000,None,204000,-22921000,None,975000,-39009000,-22921000,-21946000,None,-22921000
TTPH,2019-03-31,USD,-955000,-955000,262000,262000,-19040000,13314000,6737000,20313000,507000,-955000,0,955000,None,507000,None,201000,-19488000,None,955000,-33958000,-19488000,-18533000,None,-19488000
TTPH,2018-12-31,USD,-624000,-624000,10847000,10847000,-21389000,14727000,10717000,25672000,532000,None,None,624000,None,532000,None,219000,-21481000,None,None,-36832000,-73664000,-20857000,None,-21481000
TTPH,2018-09-30,USD,1151000,1151000,21146000,21146000,-19995000,9481000,11665000,21146000,437000,None,None,-624000,None,437000,None,120000,-19558000,None,None,-29159000,-19558000,-19558000,None,-19558000
TTPH,2018-06-30,USD,11579000,11579000,21535000,21535000,-9956000,7165000,14370000,21535000,413000,None,None,-624000,None,413000,None,121000,-9543000,None,None,-16708000,-9543000,-9543000,None,-9543000
TTPH,2018-03-31,USD,1891000,1891000,23832000,23832000,-21941000,5705000,18127000,23832000,365000,None,None,-624000,None,365000,None,116000,-21576000,None,None,-27281000,-21576000,-21576000,None,-21576000
TTPH,2017-12-31,USD,2528000,2528000,26346000,26346000,-23818000,7877000,18469000,26346000,343000,None,None,None,None,343000,None,116000,-23475000,None,None,-31352000,-62704000,-23475000,None,-23475000
TTPH,2017-09-30,USD,4067000,4067000,34377000,34377000,-30310000,5600000,28777000,34377000,302000,None,None,None,None,302000,None,114000,-30008000,None,None,-31653000,-30008000,-30008000,None,-30008000
TTPH,2017-06-30,USD,1586000,1586000,33578000,33578000,-31992000,5065000,28513000,33578000,181000,None,None,None,None,181000,None,111000,-31811000,None,None,-36876000,-31811000,-31811000,None,-31811000
TTPH,2017-03-31,USD,1485000,1485000,31080000,31080000,-29595000,5133000,25947000,31080000,137000,None,None,None,None,137000,None,90000,-29458000,None,None,-34591000,-29458000,-29458000,None,-29458000
TTPH,2016-12-31,USD,1090000,1090000,23646000,23646000,-22556000,4341000,19305000,23646000,None,None,None,None,None,95000,None,74000,-22461000,None,None,-21371000,-42742000,-22461000,None,-22461000
TTPH,2016-09-30,USD,850000,850000,22048000,22048000,-21198000,4858000,17190000,26906000,None,None,None,None,None,88000,None,72000,-21110000,None,None,-25190000,-21110000,-21110000,None,-21110000
TTPH,2016-06-30,USD,1243000,1243000,18505000,18505000,-17262000,4759000,13746000,18505000,None,None,None,None,None,94000,None,69000,-17168000,None,None,-15925000,-17168000,-17168000,None,-17168000
TTPH,2016-03-31,USD,1962000,1962000,18776000,18776000,-16814000,5253000,13523000,18776000,None,None,None,None,None,73000,None,67000,-16741000,None,None,-14779000,-16741000,-16741000,None,-16741000
TTPH,2015-12-31,USD,2471000,2471000,20603000,20603000,-18132000,5588000,15016000,20603000,None,None,None,1000,None,17000,None,62000,-18116000,None,None,-15645000,-31290000,-18115000,None,-18116000
TTPH,2015-09-30,USD,2856000,2856000,20909000,20909000,-18053000,3936000,16972000,24844000,None,None,None,230000,None,9000,None,65000,-18044000,None,None,-12471000,-18044000,-18044000,None,-18044000
TTPH,2015-06-30,USD,3343000,3343000,29396000,29396000,-26053000,6489000,22907000,29396000,None,None,None,-460000,None,10000,None,34000,-26043000,None,None,-22700000,-26043000,-26043000,None,-26043000
TTPH,2015-03-31,USD,3016000,3016000,23776000,23776000,-20760000,4903000,18873000,23776000,None,None,None,230000,None,4000,None,32000,-20986000,None,None,-17970000,-20986000,-20756000,None,-20986000
