SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
VNET,2020-12-31,CNY,294425000,1348367000,1053942000,1053942000,6800000,251759000,42164000,1341567000,None,-75067000,4176000,79243000,None,None,None,None,-967715000,41210000,None,-993731000,None,-587555000,None,-1015378000
VNET,2020-09-30,CNY,275143000,1245794000,970651000,970651000,75870000,173306000,26078000,1169924000,None,-89926000,6440000,96366000,None,None,None,None,122736000,25230000,None,99771000,None,488580000,None,97144000
VNET,2020-06-30,CNY,272332000,1144061000,871729000,871729000,78859000,169808000,23665000,193473000,None,-91029000,11713000,102742000,None,None,None,None,-1617910000,20410000,None,-1648777000,None,-3118767000,None,-1652350000
VNET,2020-03-31,CNY,234111000,1090797000,856686000,856686000,36694000,176433000,20984000,197417000,None,-92876000,9382000,102258000,None,None,None,None,-118903000,22486000,None,-137522000,None,-48293000,None,-138763000
VNET,2019-12-31,CNY,247871000,1048119000,800248000,800248000,55569000,174244000,24920000,244566000,None,-73387000,14988000,88375000,None,0,None,None,-26680000,-24686000,None,-22254000,None,107665000,None,-16416000
VNET,2019-09-30,CNY,222555000,980969000,758414000,758414000,65476000,134561000,22518000,158048000,None,-81557000,15379000,96936000,None,0,None,None,-55182000,10039000,None,-66299000,None,14563000,None,-69456000
VNET,2019-06-30,CNY,228248000,888020000,659772000,659772000,60034000,149424000,18790000,186018000,None,-78813000,12389000,91202000,None,0,None,None,-71655000,9343000,None,-99275000,None,-18081000,None,-102060000
VNET,2019-03-31,CNY,240775000,871859000,631084000,631084000,53297000,164914000,22564000,187478000,None,-57591000,-28053000,69442000,None,0,None,None,28261000,10741000,None,6582000,None,171860000,None,5640000
VNET,2018-12-31,CNY,246341000,901887000,655546000,655546000,142483.72,181414000,72463.25,181442000,None,None,None,-222554.95,None,0,None,None,-443671.88,-142419.19,None,-301252.69,None,-36381000,None,-350477.19
VNET,2018-09-30,USD,241195000,870068000,628873000,628873000,9616969.24,150804000,3542488.61,176550000,None,None,None,-8846540.20,None,0,None,None,-5170842.49,-1109930.27,None,-4060912.23,None,26684000,None,-4314082.31
VNET,2018-06-30,USD,229400000,828300000,598900000,598900000,8546790.64,150300000,3323785.24,173100000,None,None,None,-7697660.47,None,0,None,None,-7682363.53,6644421.12,None,-14326784.64,None,-12300000,None,-14128674.27
VNET,2018-03-31,USD,227900000,800800000,572900000,572900000,8622721.12,151700000,3507682.51,171400000,None,None,None,-8206671.44,None,None,None,None,10956293.29,5426319.56,None,5529973.73,None,204000000,None,5228883.05
VNET,2017-12-31,USD,200200000,765800000,565600000,565600000,1054000,159200000,4916000,-484800000,None,None,None,8270000,None,None,None,None,97293000,-93194000,None,559055000,None,779400000,None,95604000
VNET,2017-09-30,USD,189800000,886000000,696200000,696200000,-116241000,211300000,5986000,1613900000,None,None,None,8845000,None,None,None,None,-1525715000,3024000,None,-1591116000,None,-1237800000,None,-1480521000
VNET,2017-06-30,USD,188000000,878700000,690700000,690700000,143443000,226400000,6444000,268500000,None,None,None,5988000,None,None,None,None,184260000,241000,None,231254000,None,39900000,None,202569000
VNET,2017-03-31,USD,180500000,862200000,681700000,681700000,-75010000,217100000,5577000,252600000,None,None,None,5379000,None,None,None,None,-100710000,2343000,None,-116837000,None,53000000,None,-99794000
VNET,2016-12-31,USD,702254000,113469000,67904000,67904000,-610155000,47214000,4877000,4243923000,None,None,None,4919000,None,None,None,None,-943082000,-12673000,None,-931922000,None,-610155000,None,-550629000
VNET,2016-09-30,USD,174882000,144257000,91537000,91537000,44599000,48606000,5372000,776407000,None,None,None,7366000,None,None,None,None,0,1513000,None,0,None,44599000,None,-271969000
VNET,2016-06-30,USD,-334000000,133072000,83411000,83411000,109000000,46350000,4769000,-1784000000,None,None,None,7681000,None,None,None,None,0,-50325000,None,0,None,109000000,None,332000000
VNET,2016-03-31,USD,169000000,133727000,83457000,83457000,-84000000,39233000,6491000,946000000,None,None,None,8637000,None,None,None,None,0,2325000,None,0,None,-84000000,None,-143000000
VNET,2015-12-31,USD,853758000,143939000,89785000,89785000,-240908000,42012000,6117000,3875280000,None,None,None,8778000,None,None,None,None,-353445000,4271000,None,-401275000,None,-240908000,None,-428099000
