SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
WAIR,2019-09-30,USD,90134000,432291000,342157000,342157000,4092000,86042000,None,86042000,None,None,None,-12843000,None,None,None,None,-8406000,1933000,None,-10339000,None,12141000,None,-11048000
WAIR,2019-06-30,USD,105870000,442374000,336504000,336504000,22502000,83368000,None,83368000,None,None,None,12878000,None,-630000,None,None,8994000,-7377000,None,16371000,None,29664000,None,14114000
WAIR,2019-03-31,USD,108747000,426474000,317727000,317727000,29839000,78908000,None,78908000,None,None,None,12388000,None,-314000,None,None,17137000,5127000,None,12010000,None,36906000,None,12010000
WAIR,2018-12-31,USD,98342000,395311000,296969000,296969000,22079000,76263000,0,373232000,None,None,None,-12914000,None,-217000,None,None,8948000,2655000,None,6293000,None,22079000,None,6293000
WAIR,2018-09-30,USD,98800000,406817000,308017000,308017000,22372000,76428000,0,384445000,None,None,None,-12360000,None,-367000,None,None,9645000,2371000,None,7274000,None,22372000,None,7274000
WAIR,2018-06-30,USD,104197000,410359000,306162000,306162000,29328000,74869000,0,74869000,None,None,None,12717000,None,239000,None,None,16850000,6096000,None,10754000,None,29328000,None,10754000
WAIR,2018-03-31,USD,105735000,390183000,284448000,284448000,33196000,72539000,0,72539000,None,None,None,11965000,None,-108000,None,None,21123000,6123000,None,15000000,None,33196000,None,15000000
WAIR,2017-12-31,USD,94424000,363091000,268667000,268667000,26172000,69852000,0,69852000,None,None,None,11838000,None,260000,None,None,12994000,13368000,None,-374000,None,24572000,None,-374000
WAIR,2017-09-30,USD,87487000,361552000,274065000,274065000,19970000,67517000,0,67503000,None,None,None,10292000,None,80000,None,None,9758000,48045000,None,-38287000,None,20050000,None,-38287000
WAIR,2017-06-30,USD,90208000,363907000,273699000,273699000,-287219000,66313000,0,377427000,None,None,None,9614000,None,256000,None,None,-296577000,-72628000,None,-229608000,None,-286963000,None,-229608000
WAIR,2017-03-31,USD,94755000,364599000,269844000,269844000,32492000,62557000,0,62557000,None,None,None,8842000,None,-255000,None,None,23101000,5659000,None,17442000,None,31943000,None,17442000
WAIR,2016-12-31,USD,89457000,339371000,249914000,249914000,27271000,63201000,0,63201000,None,None,None,11073000,None,288000,None,None,15471000,2364000,None,13107000,None,26544000,None,13107000
WAIR,2016-09-30,USD,95485000,365595000,270110000,270110000,42704000,55234000,0,55234000,None,None,None,9465000,None,-219000,None,None,30567000,7306000,None,23261000,None,40032000,None,23261000
WAIR,2016-06-30,USD,99241000,375186000,275945000,275945000,41421000,59197000,0,59197000,None,None,None,9325000,None,2657000,None,None,33376000,9360000,None,24016000,None,42701000,None,24016000
WAIR,2016-03-31,USD,102337000,376742000,274405000,274405000,43309000,60966000,0,60966000,None,None,None,9114000,None,402000,None,None,32659000,9167000,None,23492000,None,41773000,None,23492000
WAIR,2015-12-31,USD,96629000,359843000,263214000,263214000,37713000,59545000,0,59545000,None,None,None,8997000,None,901000,None,None,28988000,8379000,None,20609000,None,37985000,None,20609000
WAIR,2015-09-30,USD,-11623000,369653000,381277000,381277000,-326150000,54600000,0,314527000,None,None,None,9038000,None,3204000,None,None,-331984000,-94833000,None,-234871000,None,-322946000,None,-234871000
WAIR,2015-06-30,USD,109313000,368707000,265352000,265352000,38443000,73136000,0,73136000,None,None,None,9335000,None,-2402000,None,None,24440000,7961000,None,16479000,None,33775000,None,16479000
WAIR,2015-03-31,USD,114936000,385559000,276474000,276474000,47281000,70619000,0,70619000,None,None,None,9346000,None,791000,None,None,35762000,12716000,None,23046000,None,45108000,None,23046000
WAIR,2014-12-31,USD,111869000,373696000,267772000,267772000,41985000,72578000,0,72578000,None,None,None,9373000,None,248000,None,None,30166000,-10436000,None,40602000,None,39539000,None,40602000
WAIR,2014-09-30,USD,119749000,408167000,288418000,288418000,48116000,71633000,0,71633000,None,None,None,9816000,None,-146000,None,None,38154000,13506000,None,24648000,None,47970000,None,24648000
