SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
XENT,2020-12-31,USD,19534000,28228000,8694000,8694000,-17252000,31151000,5635000,36786000,-307000,-1380000,None,1380000,None,-1981000,None,1374000,-20613000,-416000,1380000,-18746000,-20218000,-17252000,-15878000,-20197000
XENT,2020-09-30,USD,14875000,22720000,7845000,7845000,-11378000,21702000,4551000,26253000,-163000,-886000,None,886000,None,799000,None,476000,-11465000,None,886000,-10742000,-11538000,-11378000,-10902000,-11465000
XENT,2020-06-30,USD,2423000,9780000,7357000,7357000,-21092000,19497000,4018000,23515000,9000,-486000,None,486000,None,-1546000,None,495000,-23124000,None,None,-22638000,-23063000,-21092000,-20597000,-23124000
XENT,2020-03-31,USD,13416000,19826000,6410000,6410000,-17930000,26200000,5146000,31346000,83000,397000,397000,None,None,397000,None,496000,-17533000,None,None,-17533000,-17552000,-17930000,-17434000,-17533000
XENT,2019-12-31,USD,24548000,31754000,7206000,7206000,-8516000,27233000,5831000,33064000,151000,559000,559000,None,None,559000,None,681000,-7957000,None,None,3343000,-7998000,-8516000,-7835000,-7957000
XENT,2019-09-30,USD,19180000,24056000,4876000,4876000,-13394000,26429000,6145000,32574000,260000,546000,546000,None,None,546000,None,717000,-12848000,None,None,-12848000,-12851000,-13394000,-12677000,-12848000
XENT,2019-06-30,USD,21613000,26659000,5046000,5046000,-12039000,27611000,6041000,33652000,413000,655000,655000,None,None,655000,None,681000,-11384000,None,None,-11384000,-11323000,-12039000,-11358000,-11384000
XENT,2019-03-31,USD,22028000,26673000,4645000,4645000,-11445000,27207000,6266000,33473000,377000,640000,640000,None,None,640000,None,588000,-10805000,None,None,-10805000,-10728000,-11445000,-10857000,-10805000
XENT,2018-12-31,USD,26412000,32783000,6371000,6371000,-5653000,26322000,5743000,32065000,343000,None,None,None,None,623000,None,605000,-5030000,None,None,-5030000,-5030000,-5653000,-5048000,-5030000
XENT,2018-09-30,USD,19464000,24666000,5202000,5202000,-8168000,22760000,4872000,27632000,292000,None,None,None,None,572000,None,442000,-7596000,None,None,-7596000,-7550000,-8168000,-7726000,-7596000
XENT,2018-06-30,USD,20742000,26300000,5558000,5558000,-4637000,21005000,4374000,25379000,171000,None,None,None,None,477000,None,423000,-4160000,None,None,-4160000,-4090000,-4637000,-4214000,-4160000
XENT,2018-03-31,USD,19241000,24723000,5482000,5482000,-6548000,21516000,4273000,25789000,83000,None,None,None,None,412000,None,414000,-6136000,None,None,-6136000,-6201000,-6548000,-6134000,-6136000
XENT,2017-12-31,USD,24406000,29529000,5123000,5123000,-3510000,22298000,5618000,27916000,-8000,None,None,None,None,358000,None,390000,-3152000,None,None,-3152000,-3227000,-3510000,-3120000,-3152000
XENT,2017-09-30,USD,18505000,22313000,3808000,3808000,-4587000,18746000,4346000,23092000,-26000,None,None,None,None,326000,None,385000,-4261000,None,None,-4261000,-4238000,-4587000,-4202000,-4261000
XENT,2017-06-30,USD,20301000,23985000,3684000,3684000,-2557000,18682000,4176000,22858000,19000,None,None,None,None,288000,None,361000,-2269000,None,None,-2269000,-2277000,-2557000,-2196000,-2269000
XENT,2017-03-31,USD,17590000,20474000,2884000,2884000,-6949000,20319000,4220000,24539000,-4000,None,None,None,None,268000,None,328000,-6681000,None,None,-6681000,-6676000,-6949000,-6621000,-6681000
XENT,2016-12-31,USD,20343000,24231000,3888000,3888000,-5060000,19833000,5570000,25403000,16000,None,None,None,None,244000,None,334000,-4816000,None,None,-4007000,-4963000,-5060000,-4726000,-4816000
XENT,2016-09-30,USD,15680000,18468000,2788000,2788000,-6462000,17905000,4237000,22142000,9000,None,None,None,None,236000,None,292000,-6226000,None,None,-6453000,-6257000,-6462000,-6170000,-6226000
XENT,2016-06-30,USD,16200000,19317000,3117000,3117000,-6183000,17795000,4588000,22383000,-56000,None,None,None,None,224000,None,279000,-5959000,None,None,-6183000,-5923000,-6183000,-5904000,-5959000
XENT,2016-03-31,USD,13482000,16692000,3210000,3210000,-8406000,17393000,4495000,21888000,-117000,None,None,None,None,185000,None,261000,-8221000,None,None,-8523000,-8124000,-8406000,-8145000,-8221000
