SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
XYF,2020-09-30,CNY,-1441000,559800000,561241000,561241000,-101431000,64011000,None,None,None,144578000,-8598000,None,None,None,None,None,-108231000,1576000,None,-113031000,None,None,None,-113024000
XYF,2020-06-30,CNY,-108833000,337834000,496701000,496701000,-341514000,586874000,None,None,None,131513000,-50034000,None,None,None,None,None,-387793000,-43334000,None,-343618000,None,None,None,-343667000
XYF,2020-03-31,CNY,104117000,425487000,424875000,424875000,-130045000,506617000,None,None,None,181070000,-103505000,None,None,None,None,None,-228314000,-31153000,None,-196341000,None,None,None,-196341000
XYF,2019-12-31,CNY,215160550,657019788,420130450,420130450,36076620,494457835,None,None,None,230610765,21729070,None,None,None,None,None,73858450,-49250643,None,125539992,None,None,None,125540130
XYF,2019-09-30,CNY,410258000,775078000,456497000,456497000,234658000,543538000,0,13.05,None,118209000,-91677000,0,None,0,None,None,144023000,20451000,None,131555000,None,4.73,None,131555000
XYF,2019-06-30,CNY,369956000,732139000,422297000,422297000,211374000,503974000,0,17.12,None,60404000,-7310000,0,None,0,None,None,205336000,-113724000,None,303581000,None,7.20,None,316062000
XYF,2019-03-31,CNY,439879000,756326000,336539000,336539000,279062000,423492000,0,18,None,18564000,-20545000,0,None,0,None,None,258973000,49421000,None,213801000,None,10.10,None,208964000
XYF,2018-12-31,CNY,15.13,813140862,9.90,9.90,8.35,449561712,0,16.68,None,None,None,0,None,0,None,None,6.91,-540642.87,None,7.02,None,8.35,None,7.02
XYF,2018-09-30,CNY,1656234.39,785334000,903155.69,903155.69,950683.06,397488000,0,1608707.03,None,None,None,0,None,0,None,None,716869.28,106277.03,None,610592.26,None,950683.06,None,610607.69
XYF,2018-06-30,CNY,122510019.05,1011914000,45578144.57,45578144.57,81982530.59,386139000,0,0,None,None,None,0,None,0,None,None,62293761.55,17143514.55,None,45150247,None,81982530.59,None,45151076.48
XYF,2018-03-31,CNY,69927657.99,745834000,45902124.03,45902124.03,55564169.41,378498000,0,60265612.61,None,None,None,0,None,None,None,None,32971563.09,10331097.36,None,22640465.73,None,55564169.41,None,22647520.90
XYF,2017-12-31,USD,665914577,115674000,41205000,41205000,59638000,52689000,0,757806783,None,None,None,0,None,None,None,None,34711000,9698000,None,210110384,None,438100814,None,24972000
XYF,2017-09-30,USD,360877268,69748000,31398000,31398000,228699483,30095104,0,344857113,None,None,None,0,None,None,None,None,21480000,6222000,None,129384268,None,246170483,None,15307000
XYF,2017-06-30,USD,0,57304000,28008000,28008000,17471000,27192000,0,0,None,None,None,0,None,None,None,None,6493000,2007000,None,0,None,0,None,4527000
XYF,2017-03-31,USD,0,31921000,16221000,16221000,0,0,0,0,None,None,None,0,None,None,None,None,10744000,3322000,None,0,None,0,None,7493000
XYF,2016-12-31,USD,-28748644,33171000,37312000,37312000,-136769915,15117000,0,367075600,None,None,None,0,None,None,None,None,-147199063,-27018204,None,-120180859,None,-136769915,None,-119574250
