,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,TCRR,2020-12-31,USD,246195000,235538000,94155000,94155000,None,None,10657000,10013000,None,None,None,None,None,None,133831000,None,583000,9647000,8840000,None,None,None,None,807000,None,None,None,None,None,1291000,807000,236548000,None,-249715000,3000,33516795
1,TCRR,2020-09-30,USD,260850000,254232000,101614000,101614000,None,None,6618000,6201000,None,None,None,None,None,None,145109000,7509000,417000,8487000,7852000,None,None,None,None,635000,None,None,None,None,None,590000,635000,252363000,None,-231264000,3000,33380211
2,TCRR,2020-06-30,USD,140382000,133777000,49695000,49695000,None,None,6605000,5957000,None,None,None,None,None,None,75118000,8964000,417000,6969000,6360000,None,None,None,None,609000,None,None,None,None,None,631000,609000,133413000,None,-214342000,2000,24104595
3,TCRR,2020-03-31,USD,153304000,132957000,31093000,31093000,None,None,20347000,5220000,None,None,None,None,None,14540000,95023000,6841000,417000,6712000,6129000,None,None,None,None,583000,None,None,None,None,None,462000,583000,146592000,None,-198097000,2000,24056469
4,TCRR,2019-12-31,USD,168528000,163185000,65296000,65296000,None,None,5343000,4926000,None,None,None,None,None,None,92828000,5061000,417000,8079000,7533000,None,None,None,None,546000,None,None,None,None,None,1252000,546000,160449000,None,-182591000,2000,23981109
5,TCRR,2019-09-30,USD,179511000,166617000,49317000,49317000,None,None,12894000,4463000,None,None,None,None,None,8014000,111688000,5612000,417000,8357000,7883000,None,None,None,None,474000,None,None,None,None,None,473000,474000,171154000,None,-169764000,2000,24000000
6,TCRR,2019-06-30,USD,190260000,175677000,40980000,40980000,None,None,14583000,3172000,None,None,None,None,None,11121000,128646000,6051000,290000,7624000,7160000,None,None,None,None,464000,None,None,None,None,None,202000,464000,182636000,None,-155958000,2000,24000000
7,TCRR,2019-03-31,USD,197859000,165585000,46405000,46405000,None,None,32274000,1936000,None,None,None,None,None,30048000,115251000,3929000,290000,5812000,5357000,None,None,None,None,455000,None,None,None,None,None,489000,455000,192047000,None,-144895000,2000,12000000
8,TCRR,2018-12-31,USD,129433000,125493000,47674000,47674000,None,None,None,1638000,None,None,None,None,None,None,75493000,None,None,5899000,5465000,None,None,None,None,None,None,None,None,None,None,379000,None,-85696000,None,-85590000,None,1000000
9,TCRR,2018-09-30,USD,134668000,131390000,107769000,107769000,None,None,None,1791000,None,None,None,None,None,None,23229000,392000,None,4204000,3792000,None,None,None,None,None,None,None,None,None,None,2283000,None,130464000,None,-75033000,None,1000000
10,TCRR,2018-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000
11,TCRR,2018-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-26324000,None,None,None,1000000
12,TCRR,2017-12-31,USD,22039000,20703000,19811000,19811000,None,None,None,1026000,None,None,None,None,None,None,None,892000,None,1261000,1231000,None,None,None,None,None,None,None,None,None,None,81000,None,-26324000,None,-26324000,None,None
13,TCRR,2016-12-31,USD,18251000,None,7992000,7992000,None,None,None,936000,None,None,None,None,None,None,8348000,975000,None,966000,966000,None,None,None,None,None,None,None,None,None,None,458000,None,17285000,None,None,None,None
