,SYMBOL,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
0,WMG,2020-12-31,USD,6943000000,1828000000,566000000,566000000,71000000,884000000,5115000000,334000000,None,3975000000,2124000000,1851000000,None,None,None,463000000,162000000,6910000000,2890000000,214000000,326000000,None,None,4020000000,339000000,3387000000,None,3387000000,3387000000,137000000,169000000,16000000,None,-1713000000,1000000,514352170
1,WMG,2020-09-30,USD,6410000000,1678000000,553000000,553000000,79000000,771000000,4732000000,331000000,None,3638000000,1807000000,1831000000,None,None,None,220000000,153000000,6455000000,2720000000,264000000,297000000,None,None,3735000000,338000000,3104000000,None,3104000000,3104000000,80000000,169000000,-63000000,None,-1749000000,1000000,510028361
2,WMG,2020-06-30,USD,6148000000,1582000000,532000000,532000000,59000000,732000000,4566000000,310000000,None,3546000000,1776000000,1770000000,None,None,None,189000000,145000000,6169000000,2525000000,205000000,182000000,None,None,3644000000,346000000,3000000000,None,3000000000,3000000000,100000000,181000000,-38000000,None,-1685000000,1000000,510000000
3,WMG,2020-03-31,USD,6124000000,1583000000,484000000,484000000,65000000,763000000,4541000000,294000000,None,3556000000,1795000000,1761000000,None,None,None,192000000,123000000,6409000000,2732000000,246000000,167000000,39000000,None,3677000000,351000000,2983000000,39000000,2983000000,2983000000,91000000,228000000,-306000000,None,-1166000000,1000000,510000000
4,WMG,2019-12-31,USD,6314000000,1656000000,462000000,462000000,65000000,882000000,4658000000,295000000,None,3632000000,1864000000,1768000000,None,None,None,189000000,152000000,6483000000,2799000000,202000000,159000000,38000000,None,3684000000,359000000,2988000000,38000000,2988000000,2988000000,157000000,204000000,-190000000,None,-1088000000,None,1069000000
5,WMG,2019-09-30,USD,6017000000,1691000000,619000000,619000000,74000000,775000000,4326000000,300000000,None,3635000000,1874000000,1761000000,None,None,None,170000000,145000000,6286000000,2819000000,260000000,180000000,None,None,3467000000,None,2974000000,None,2974000000,2974000000,286000000,321000000,-289000000,None,-1177000000,None,1060000000
6,WMG,2019-06-30,USD,5955000000,1580000000,541000000,541000000,67000000,744000000,4375000000,296000000,None,3705000000,1933000000,1772000000,None,None,None,1000000,158000000,6088000000,2544000000,208000000,170000000,None,None,3544000000,None,3006000000,None,3006000000,3006000000,123000000,302000000,-152000000,None,-1061000000,None,1052000000
7,WMG,2019-03-31,USD,5902000000,1524000000,470000000,470000000,65000000,781000000,4378000000,295000000,None,3742000000,1955000000,1787000000,None,None,None,2000000,150000000,6022000000,2518000000,245000000,None,None,None,3504000000,None,2990000000,None,2990000000,2990000000,153000000,284000000,-140000000,None,-1043000000,None,1052000000
8,WMG,2018-12-31,USD,5946000000,1592000000,548000000,548000000,66000000,789000000,4354000000,268000000,None,3785000000,1992000000,1793000000,None,None,None,None,125000000,6085000000,2593000000,179000000,None,None,None,3492000000,None,None,None,2998000000,None,162000000,275000000,None,None,None,None,1052000000
9,WMG,2018-09-30,USD,5344000000,1176000000,514000000,514000000,42000000,447000000,1692000000,229000000,None,3697000000,2005000000,1692000000,None,None,None,None,78000000,5664000000,2373000000,281000000,None,None,None,3291000000,None,None,None,2819000000,None,34000000,307000000,None,None,None,None,1052000000
