timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-04,9.94,10.91,8.35,8.73,8.73,27170563,0.0000,1.0
2021-03-03,12.17,12.45,9.32,9.62,9.62,94546533,0.0000,1.0
2021-03-02,8.14,9.65,8.04,9.13,9.13,40070798,0.0000,1.0
2021-03-01,7.98,7.99,7.57,7.63,7.63,5478617,0.0000,1.0
2021-02-26,7.69,7.79,7.24,7.57,7.57,5052627,0.0000,1.0
2021-02-25,8.01,8.06,7.5,7.64,7.64,4945652,0.0000,1.0
2021-02-24,8.05,8.23,7.82,7.96,7.96,4334030,0.0000,1.0
2021-02-23,7.59,8.1,7.37,8.04,8.04,5907395,0.0000,1.0
2021-02-22,8.16,8.26,7.92,8.01,8.01,6693893,0.0000,1.0
2021-02-19,8.65,8.68,8.1,8.32,8.32,9750809,0.0000,1.0
2021-02-18,8.69,8.75,8.45,8.61,8.61,5514284,0.0000,1.0
2021-02-17,8.89,8.98,8.68,8.86,8.86,6512146,0.0000,1.0
2021-02-16,9.33,9.35,8.92,8.97,8.97,6600109,0.0000,1.0
2021-02-12,9.06,9.23,8.94,9.02,9.02,4182089,0.0000,1.0
2021-02-11,8.98,9.37,8.81,9.2,9.2,6933791,0.0000,1.0
2021-02-10,9.31,9.4,8.9,9.09,9.09,5982348,0.0000,1.0
2021-02-09,9.43,9.48,9.15,9.28,9.28,6460817,0.0000,1.0
2021-02-08,9.84,9.85,9.35,9.51,9.51,7951791,0.0000,1.0
2021-02-05,10.18,10.1948,9.86,9.99,9.99,5858535,0.0000,1.0
2021-02-04,11.65,11.68,10.2,10.39,10.39,10711628,0.0000,1.0
2021-02-03,10.95,11.68,10.75,11.38,11.38,11675813,0.0000,1.0
2021-02-02,10.48,10.5,10.2,10.33,10.33,3771208,0.0000,1.0
2021-02-01,10.15,10.28,9.85,10.1,10.1,3078352,0.0000,1.0
2021-01-29,9.96,10.25,9.76,9.91,9.91,3937255,0.0000,1.0
2021-01-28,10.15,10.25,9.87,9.96,9.96,4151557,0.0000,1.0
2021-01-27,9.43,11.1975,9.2,10.26,10.26,10007979,0.0000,1.0
2021-01-26,10.7,10.71,10.02,10.07,10.07,9936093,0.0000,1.0
2021-01-25,11.14,11.2,10.5,10.85,10.85,11165995,0.0000,1.0
2021-01-22,11.95,12.35,10.93,11.35,11.35,12684270,0.0000,1.0
2021-01-21,11.4,11.96,10.85,11.54,11.54,14422470,0.0000,1.0
2021-01-20,12.44,12.44,11.55,11.7,11.7,13293721,0.0000,1.0
2021-01-19,12.64,12.72,12.156,12.35,12.35,8718640,0.0000,1.0
2021-01-15,12.835,12.85,12.16,12.39,12.39,7429622,0.0000,1.0
2021-01-14,12.62,13.1,12.42,12.81,12.81,7962073,0.0000,1.0
2021-01-13,12.78,12.825,12.365,12.6,12.6,6465510,0.0000,1.0
2021-01-12,12.8675,13.2,12.51,12.87,12.87,7573507,0.0000,1.0
2021-01-11,13.17,13.59,12.7,12.9,12.9,8248550,0.0000,1.0
2021-01-08,12.56,13.12,12.31,12.7,12.7,5460616,0.0000,1.0
2021-01-07,12.2965,12.54,12.01,12.43,12.43,5950538,0.0000,1.0
2021-01-06,12.52,12.78,11.66,12.0,12.0,12266839,0.0000,1.0
2021-01-05,12.56,12.89,12.35,12.63,12.63,5182359,0.0000,1.0
2021-01-04,13.83,13.83,12.4,12.95,12.95,6994336,0.0000,1.0
2020-12-31,13.12,13.44,12.88,13.13,13.13,6218491,0.0000,1.0
2020-12-30,13.27,13.49,12.76,13.08,13.08,8041944,0.0000,1.0
2020-12-29,13.86,13.99,12.81,13.16,13.16,7492456,0.0000,1.0
2020-12-28,13.95,14.38,13.41,13.81,13.81,11692516,0.0000,1.0
2020-12-24,12.9,13.59,12.65,12.75,12.75,10750103,0.0000,1.0
2020-12-23,11.2,12.32,11.0,12.11,12.11,15754902,0.0000,1.0
2020-12-22,11.19,11.38,11.05,11.13,11.13,4425359,0.0000,1.0
2020-12-21,10.8,11.14,10.7987,10.98,10.98,5040246,0.0000,1.0
2020-12-18,10.76,10.88,10.6589,10.72,10.72,3730667,0.0000,1.0
2020-12-17,10.99,11.11,10.65,10.72,10.72,3925178,0.0000,1.0
2020-12-16,10.7,10.81,10.62,10.71,10.71,2403778,0.0000,1.0
2020-12-15,11.06,11.13,10.51,10.89,10.89,4916928,0.0000,1.0
2020-12-14,11.41,11.78,11.1,11.19,11.19,5613353,0.0000,1.0
2020-12-11,11.49,11.83,11.0,11.22,11.22,7679660,0.0000,1.0
2020-12-10,11.0,11.49,10.9,11.4,11.4,8305315,0.0000,1.0
2020-12-09,10.84,11.685,10.69,10.92,10.92,9825359,0.0000,1.0
2020-12-08,10.7,10.74,10.51,10.55,10.55,4473570,0.0000,1.0
2020-12-07,11.0,11.0793,10.45,10.6,10.6,9747326,0.0000,1.0
2020-12-04,10.4,10.42,10.27,10.32,10.32,2701509,0.0000,1.0
2020-12-03,10.12,10.23,10.07,10.18,10.18,826200,0.0000,1.0
2020-12-02,10.14,10.15,10.04,10.05,10.05,299925,0.0000,1.0
2020-12-01,10.19,10.19,10.11,10.12,10.12,368905,0.0000,1.0
2020-11-30,10.15,10.22,10.1089,10.16,10.16,510476,0.0000,1.0
2020-11-27,10.1,10.15,10.0,10.13,10.13,254084,0.0000,1.0
2020-11-25,10.1,10.1,10.02,10.04,10.04,341667,0.0000,1.0
2020-11-24,10.04,10.05,9.9896,10.03,10.03,112519,0.0000,1.0
2020-11-23,10.1,10.1,10.0,10.03,10.03,152763,0.0000,1.0
2020-11-20,10.04,10.1,10.01,10.06,10.06,1603479,0.0000,1.0
2020-11-19,9.96,10.05,9.96,10.02,10.02,615927,0.0000,1.0
2020-11-18,10.0,10.01,9.98,10.0,10.0,491767,0.0000,1.0
2020-11-17,9.98,10.0,9.96,9.99,9.99,124229,0.0000,1.0
2020-11-16,9.99,10.0,9.96,9.99,9.99,86178,0.0000,1.0
2020-11-13,9.99,10.0,9.94,9.99,9.99,77738,0.0000,1.0
2020-11-12,9.97,9.99,9.93,9.98,9.98,39803,0.0000,1.0
2020-11-11,9.99,9.99,9.93,9.96,9.96,519975,0.0000,1.0
2020-11-10,9.93,9.99,9.92,9.93,9.93,350801,0.0000,1.0
2020-11-09,9.99,9.99,9.91,9.93,9.93,108859,0.0000,1.0
2020-11-06,9.98,9.99,9.9,9.92,9.92,216989,0.0000,1.0
2020-11-05,9.98,9.99,9.93,9.95,9.95,213322,0.0000,1.0
2020-11-04,9.97,9.97,9.93,9.93,9.93,112288,0.0000,1.0
2020-11-03,9.96,9.96,9.92,9.93,9.93,255047,0.0000,1.0
2020-11-02,9.96,9.98,9.91,9.92,9.92,521693,0.0000,1.0
2020-10-30,9.9,9.95,9.9,9.95,9.95,331207,0.0000,1.0
2020-10-29,9.91,9.9448,9.9,9.9,9.9,174024,0.0000,1.0
2020-10-28,9.93,9.95,9.91,9.91,9.91,160103,0.0000,1.0
2020-10-27,9.97,9.9749,9.93,9.94,9.94,170660,0.0000,1.0
2020-10-26,9.93,9.965,9.93,9.94,9.94,462238,0.0000,1.0
2020-10-23,9.95,9.99,9.93,9.93,9.93,724153,0.0000,1.0
2020-10-22,9.98,9.995,9.95,9.95,9.95,368579,0.0000,1.0
2020-10-21,10.04,10.04,9.93,9.98,9.98,387170,0.0000,1.0
2020-10-20,10.11,10.16,10.0,10.03,10.03,614612,0.0000,1.0
2020-10-19,10.09,10.1,10.0247,10.03,10.03,491766,0.0000,1.0
2020-10-16,10.02,10.14,9.9701,10.01,10.01,2259694,0.0000,1.0
2020-10-15,10.0,10.01,9.95,10.005,10.005,77857,0.0000,1.0
2020-10-14,9.99,10.01,9.96,10.0,10.0,115188,0.0000,1.0
2020-10-13,10.0,10.06,9.96,10.0,10.0,229684,0.0000,1.0
2020-10-12,9.98,10.0,9.96,9.99,9.99,195203,0.0000,1.0
2020-10-09,9.98,10.0,9.96,9.98,9.98,408275,0.0000,1.0
2020-10-08,10.0,10.0,9.95,9.99,9.99,2390515,0.0000,1.0
2020-10-07,10.05,10.074,9.95,9.99,9.99,1410040,0.0000,1.0
2020-10-06,10.02,10.11,9.93,10.05,10.05,515027,0.0000,1.0
2020-10-05,10.1,10.13,10.0,10.03,10.03,1795196,0.0000,1.0
2020-10-02,10.19,10.19,10.0326,10.13,10.13,627732,0.0000,1.0
2020-10-01,10.45,10.45,10.12,10.17,10.17,622512,0.0000,1.0
2020-09-30,10.43,10.44,10.22,10.31,10.31,1069473,0.0000,1.0
2020-09-29,10.46,10.5,10.42,10.45,10.45,1037412,0.0000,1.0
2020-09-28,10.49,10.5,10.3,10.46,10.46,588955,0.0000,1.0
2020-09-25,10.29,10.5,10.17,10.35,10.35,1515058,0.0000,1.0
2020-09-24,10.53,10.5494,10.14,10.2,10.2,1966306,0.0000,1.0
2020-09-23,11.35,11.39,10.35,10.45,10.45,8549849,0.0000,1.0
2020-09-22,10.907,10.98,10.6,10.81,10.81,43102,0.0000,1.0
2020-09-21,11.0,11.2,10.72,10.94,10.94,86389,0.0000,1.0
2020-09-18,10.7801,11.0,10.7801,11.0,11.0,237434,0.0000,1.0
2020-09-17,10.85,10.9,10.75,10.85,10.85,40813,0.0000,1.0
2020-09-16,10.82,10.85,10.65,10.76,10.76,13768,0.0000,1.0
2020-09-15,10.85,10.85,10.68,10.69,10.69,14261,0.0000,1.0
2020-09-14,10.8,10.8,10.5601,10.8,10.8,13183,0.0000,1.0
2020-09-11,10.66,10.85,10.65,10.8,10.8,12879,0.0000,1.0
2020-09-10,10.8,10.8,10.7,10.78,10.78,17137,0.0000,1.0
2020-09-09,10.85,10.85,10.66,10.8,10.8,247841,0.0000,1.0
2020-09-08,10.75,10.98,10.66,10.75,10.75,73228,0.0000,1.0
2020-09-04,10.7191,10.84,10.5,10.6,10.6,925930,0.0000,1.0
2020-09-03,10.62,10.6729,10.51,10.51,10.51,55358,0.0000,1.0
2020-09-02,10.6,10.94,10.54,10.88,10.88,143586,0.0000,1.0
2020-09-01,10.54,10.54,10.5,10.5,10.5,1660,0.0000,1.0
2020-08-31,10.5573,10.64,10.54,10.54,10.54,1889,0.0000,1.0
2020-08-28,10.5,10.83,10.5,10.72,10.72,722083,0.0000,1.0
2020-08-27,10.48,10.5,10.45,10.47,10.47,16410,0.0000,1.0
2020-08-26,10.4249,10.5,10.4,10.5,10.5,271121,0.0000,1.0
2020-08-25,10.4998,10.5,10.31,10.5,10.5,58432,0.0000,1.0
2020-08-24,10.7,10.7,10.4,10.5,10.5,13149,0.0000,1.0
2020-08-21,10.44,10.5,10.39,10.39,10.39,3736,0.0000,1.0
2020-08-20,10.3,10.47,10.185,10.46,10.46,89800,0.0000,1.0
2020-08-19,10.42,10.64,10.35,10.35,10.35,139093,0.0000,1.0
2020-08-18,10.5001,10.59,10.31,10.37,10.37,47152,0.0000,1.0
2020-08-17,10.59,10.59,10.59,10.59,10.59,4,0.0000,1.0
2020-08-14,10.55,10.65,10.51,10.59,10.59,253107,0.0000,1.0
2020-08-13,10.6,10.95,10.58,10.58,10.58,19160,0.0000,1.0
2020-08-12,10.76,10.93,10.76,10.8325,10.8325,56416,0.0000,1.0
2020-08-11,10.66,10.79,10.65,10.785,10.785,44716,0.0000,1.0
2020-08-10,10.47,10.7,10.4696,10.69,10.69,16594,0.0000,1.0
2020-08-07,10.5,10.83,10.45,10.57,10.57,273986,0.0000,1.0
2020-08-06,10.5,10.5,10.48,10.5,10.5,2503,0.0000,1.0
2020-08-05,10.4701,10.5,10.36,10.47,10.47,8215,0.0000,1.0
2020-08-04,10.43,10.49,10.27,10.49,10.49,4719,0.0000,1.0
2020-08-03,10.32,10.35,10.3,10.35,10.35,67835,0.0000,1.0
2020-07-31,10.32,10.38,10.12,10.26,10.26,257269,0.0000,1.0
2020-07-30,10.3601,10.4,10.3601,10.4,10.4,1070,0.0000,1.0
2020-07-29,10.7,10.7,10.49,10.49,10.49,2408,0.0000,1.0
2020-07-28,10.56,10.56,10.56,10.56,10.56,3,0.0000,1.0
2020-07-27,10.51,10.64,10.45,10.56,10.56,36703,0.0000,1.0
2020-07-24,10.44,10.665,10.4,10.55,10.55,37972,0.0000,1.0
2020-07-23,10.9509,10.9509,10.74,10.74,10.74,710,0.0000,1.0
2020-07-22,10.58,10.59,10.5,10.58,10.58,1792,0.0000,1.0
2020-07-21,10.4,10.6,10.4,10.6,10.6,1659522,0.0000,1.0
2020-07-20,10.36,10.36,10.36,10.36,10.36,591,0.0000,1.0
2020-07-17,10.3085,10.5,10.3085,10.5,10.5,51261,0.0000,1.0
2020-07-16,10.58,10.76,10.25,10.58,10.58,35880,0.0000,1.0
2020-07-15,10.33,10.38,10.33,10.38,10.38,5790,0.0000,1.0
2020-07-14,10.55,10.55,10.55,10.55,10.55,499,0.0000,1.0
2020-07-13,10.3,10.53,10.29,10.45,10.45,38912,0.0000,1.0
2020-07-10,10.2,10.35,10.2,10.35,10.35,24866,0.0000,1.0
2020-07-09,10.25,10.3,10.2,10.2,10.2,800,0.0000,1.0
