timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-19,6.14,6.39,5.79,5.79,5.79,45318,0.0000,1.0
2021-03-18,6.22,6.42,6.12,6.13,6.13,18366,0.0000,1.0
2021-03-17,6.44,6.49,6.2,6.21,6.21,16984,0.0000,1.0
2021-03-16,6.59,6.6,6.23,6.31,6.31,15310,0.0000,1.0
2021-03-15,6.48,6.64,6.44,6.53,6.53,19401,0.0000,1.0
2021-03-12,6.41,6.6299,6.1456,6.37,6.37,15955,0.0000,1.0
2021-03-11,6.85,7.41,6.5,6.55,6.55,158823,0.0000,1.0
2021-03-10,6.3868,6.78,6.1022,6.69,6.69,81562,0.0000,1.0
2021-03-09,5.87,6.42,5.87,6.31,6.31,29285,0.0000,1.0
2021-03-08,5.95,6.18,5.61,5.79,5.79,18577,0.0000,1.0
2021-03-05,6.06,6.15,5.61,5.95,5.95,79977,0.0000,1.0
2021-03-04,6.7599,6.7599,5.6,5.83,5.83,86386,0.0000,1.0
2021-03-03,6.83,6.83,6.31,6.39,6.39,55059,0.0000,1.0
2021-03-02,6.74,6.9,6.68,6.7,6.7,33128,0.0000,1.0
2021-03-01,6.75,7.163,6.71,6.71,6.71,15007,0.0000,1.0
2021-02-26,7.18,7.4403,6.65,6.7,6.7,64978,0.0000,1.0
2021-02-25,7.35,7.66,7.01,7.09,7.09,41315,0.0000,1.0
2021-02-24,7.09,7.5,7.04,7.31,7.31,37647,0.0000,1.0
2021-02-23,7.49,7.49,6.915,7.0,7.0,95773,0.0000,1.0
2021-02-22,7.75,7.88,7.51,7.59,7.59,48419,0.0000,1.0
2021-02-19,7.81,7.95,7.51,7.83,7.83,90482,0.0000,1.0
2021-02-18,7.62,7.9799,7.62,7.81,7.81,119472,0.0000,1.0
2021-02-17,7.63,8.29,7.21,7.81,7.81,594218,0.0000,1.0
2021-02-16,7.2,7.285,6.85,7.05,7.05,104781,0.0000,1.0
2021-02-12,7.16,7.627,7.143,7.2,7.2,52457,0.0000,1.0
2021-02-11,7.32,7.4599,7.16,7.16,7.16,43939,0.0000,1.0
2021-02-10,7.41,7.43,7.15,7.17,7.17,38991,0.0000,1.0
2021-02-09,7.62,7.655,7.25,7.27,7.27,77111,0.0000,1.0
2021-02-08,7.33,7.68,7.235,7.65,7.65,72193,0.0000,1.0
2021-02-05,7.72,7.8299,7.07,7.15,7.15,60652,0.0000,1.0
2021-02-04,7.68,7.98,7.68,7.75,7.75,82113,0.0000,1.0
2021-02-03,7.79,8.1633,7.1696,7.52,7.52,179937,0.0000,1.0
2021-02-02,7.26,9.16,7.1,7.95,7.95,1098996,0.0000,1.0
2021-02-01,6.78,7.5,6.7101,7.3,7.3,136392,0.0000,1.0
2021-01-29,7.36,7.52,6.66,6.66,6.66,190588,0.0000,1.0
2021-01-28,6.42,7.31,6.42,7.25,7.25,347751,0.0000,1.0
2021-01-27,6.56,6.68,6.4,6.42,6.42,63670,0.0000,1.0
2021-01-26,6.86,6.86,6.54,6.56,6.56,85119,0.0000,1.0
2021-01-25,6.89,6.89,6.5701,6.7,6.7,90308,0.0000,1.0
2021-01-22,6.53,6.9924,6.4,6.6,6.6,115885,0.0000,1.0
2021-01-21,6.61,6.6599,6.48,6.53,6.53,57715,0.0000,1.0
2021-01-20,6.95,6.9933,6.53,6.63,6.63,61692,0.0000,1.0
2021-01-19,7.09,7.09,6.6,6.82,6.82,73394,0.0000,1.0
2021-01-15,7.03,7.0859,6.62,6.84,6.84,108486,0.0000,1.0
2021-01-14,7.29,7.3398,6.815,7.0301,7.0301,141723,0.0000,1.0
2021-01-13,7.66,7.68,7.2,7.47,7.47,95761,0.0000,1.0
2021-01-12,7.28,7.6902,7.28,7.47,7.47,180942,0.0000,1.0
2021-01-11,7.42,7.91,7.1,7.3,7.3,225659,0.0000,1.0
2021-01-08,7.31,7.69,7.1201,7.42,7.42,142749,0.0000,1.0
2021-01-07,7.03,7.54,7.03,7.25,7.25,200714,0.0000,1.0
2021-01-06,7.45,7.8842,6.89,6.94,6.94,114201,0.0000,1.0
2021-01-05,6.77,7.7,6.77,7.49,7.49,133254,0.0000,1.0
2021-01-04,7.16,7.16,6.61,6.96,6.96,150456,0.0000,1.0
2020-12-31,7.14,7.1999,6.42,6.9,6.9,548865,0.0000,1.0
2020-12-30,7.68,8.1615,7.16,7.16,7.16,718439,0.0000,1.0
2020-12-29,9.1,9.3,7.29,7.6,7.6,665822,0.0000,1.0
2020-12-28,9.55,9.88,8.61,9.34,9.34,610892,0.0000,1.0
2020-12-24,10.1,11.2,9.5,9.8,9.8,1845261,0.0000,1.0
2020-12-23,10.67,11.8,9.31,9.9,9.9,4494762,0.0000,1.0
