timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-11-10,10.5,11.47,10.43,11.4,11.4,1040766,0.0000,1.0
2020-11-09,10.49,10.76,10.28,10.5,10.5,463545,0.0000,1.0
2020-11-06,10.2,10.44,10.12,10.28,10.28,1039874,0.0000,1.0
2020-11-05,10.3,10.61,10.18,10.2,10.2,2061882,0.0000,1.0
2020-11-04,10.18,10.35,10.17,10.22,10.22,1344664,0.0000,1.0
2020-11-03,10.17,10.25,10.17,10.17,10.17,686869,0.0000,1.0
2020-11-02,10.37,10.37,10.17,10.17,10.17,464137,0.0000,1.0
2020-10-30,10.16,10.52,10.16,10.3,10.3,333346,0.0000,1.0
2020-10-29,10.45,10.5199,10.16,10.26,10.26,1129456,0.0000,1.0
2020-10-28,10.5,10.75,10.33,10.53,10.53,203268,0.0000,1.0
2020-10-27,10.61,10.885,10.35,10.6,10.6,190958,0.0000,1.0
2020-10-26,10.97,11.23,10.35,10.6,10.6,298403,0.0000,1.0
2020-10-23,11.35,11.49,10.9,11.0,11.0,534820,0.0000,1.0
2020-10-22,11.47,11.67,10.9,11.48,11.48,932236,0.0000,1.0
2020-10-21,12.78,12.78,11.5,11.54,11.54,1182532,0.0000,1.0
2020-10-20,12.89,12.89,12.61,12.75,12.75,381535,0.0000,1.0
2020-10-19,12.9,12.91,12.63,12.9,12.9,623623,0.0000,1.0
2020-10-16,12.4,12.89,12.4,12.74,12.74,1284362,0.0000,1.0
2020-10-15,11.89,12.45,11.84,12.23,12.23,893557,0.0000,1.0
2020-10-14,11.59,12.0,11.5499,11.96,11.96,767624,0.0000,1.0
2020-10-13,11.64,11.75,11.4,11.6,11.6,393985,0.0000,1.0
2020-10-12,11.67,11.75,11.5301,11.7,11.7,653974,0.0000,1.0
2020-10-09,11.2,11.7,11.03,11.56,11.56,1817012,0.0000,1.0
2020-10-08,10.73,11.32,10.6,11.15,11.15,2158137,0.0000,1.0
2020-10-07,10.53,10.7,10.5,10.64,10.64,2956034,0.0000,1.0
2020-10-06,10.5,10.55,10.4,10.45,10.45,1489488,0.0000,1.0
2020-10-05,10.5,10.56,10.37,10.5,10.5,2515431,0.0000,1.0
2020-10-02,10.31,10.4,10.27,10.35,10.35,249024,0.0000,1.0
2020-10-01,10.4,10.45,10.36,10.38,10.38,1015365,0.0000,1.0
2020-09-30,10.36,10.49,10.325,10.37,10.37,676764,0.0000,1.0
2020-09-29,10.37,10.4,10.25,10.3,10.3,298359,0.0000,1.0
2020-09-28,10.37,10.4626,10.3,10.4,10.4,191045,0.0000,1.0
2020-09-25,10.24,10.4,10.24,10.4,10.4,759481,0.0000,1.0
2020-09-24,10.25,10.4,10.17,10.26,10.26,699780,0.0000,1.0
2020-09-23,10.42,10.4383,10.25,10.34,10.34,358155,0.0000,1.0
2020-09-22,10.48,10.5,10.32,10.38,10.38,691406,0.0000,1.0
2020-09-21,10.5,10.58,10.4,10.48,10.48,504601,0.0000,1.0
2020-09-18,10.47,10.8,10.44,10.5,10.5,469974,0.0000,1.0
2020-09-17,10.46,10.5888,10.46,10.5,10.5,575930,0.0000,1.0
2020-09-16,10.63,10.74,10.46,10.46,10.46,363206,0.0000,1.0
2020-09-15,10.54,10.6,10.435,10.48,10.48,141354,0.0000,1.0
2020-09-14,10.64,10.65,10.53,10.6,10.6,177435,0.0000,1.0
2020-09-11,10.59,10.65,10.4601,10.55,10.55,122202,0.0000,1.0
2020-09-10,10.69,10.69,10.4,10.45,10.45,523399,0.0000,1.0
2020-09-09,10.7,10.75,10.57,10.61,10.61,307627,0.0000,1.0
2020-09-08,10.49,10.8,10.49,10.68,10.68,283348,0.0000,1.0
2020-09-04,10.59,10.9599,10.5,10.6,10.6,493577,0.0000,1.0
2020-09-03,10.5,10.6,10.45,10.55,10.55,226812,0.0000,1.0
2020-09-02,10.5,10.61,10.45,10.48,10.48,303810,0.0000,1.0
2020-09-01,10.5,10.58,10.44,10.46,10.46,376101,0.0000,1.0
2020-08-31,10.59,10.6999,10.4,10.52,10.52,166568,0.0000,1.0
2020-08-28,10.7,10.78,10.54,10.63,10.63,1379286,0.0000,1.0
2020-08-27,10.3,10.79,10.3,10.7,10.7,2386304,0.0000,1.0
2020-08-26,10.34,10.35,10.25,10.33,10.33,527784,0.0000,1.0
2020-08-25,10.24,10.35,10.15,10.3,10.3,521800,0.0000,1.0
2020-08-24,10.11,10.25,10.11,10.23,10.23,83126,0.0000,1.0
2020-08-21,10.19,10.19,10.1,10.16,10.16,98824,0.0000,1.0
2020-08-20,10.2,10.2,10.13,10.2,10.2,188164,0.0000,1.0
2020-08-19,10.15,10.23,10.135,10.19,10.19,120796,0.0000,1.0
2020-08-18,10.18,10.2,10.07,10.1499,10.1499,473606,0.0000,1.0
2020-08-17,10.24,10.26,10.14,10.19,10.19,152767,0.0000,1.0
2020-08-14,10.26,10.26,10.2184,10.25,10.25,317165,0.0000,1.0
2020-08-13,10.23,10.3,10.22,10.26,10.26,124788,0.0000,1.0
2020-08-12,10.25,10.3,10.21,10.23,10.23,367485,0.0000,1.0
2020-08-11,10.25,10.32,10.24,10.3,10.3,201177,0.0000,1.0
2020-08-10,10.25,10.32,10.2,10.29,10.29,448594,0.0000,1.0
2020-08-07,10.3,10.35,10.25,10.28,10.28,277134,0.0000,1.0
2020-08-06,10.26,10.325,10.25,10.3,10.3,386459,0.0000,1.0
2020-08-05,10.28,10.38,10.26,10.31,10.31,503100,0.0000,1.0
2020-08-04,10.3,10.35,10.25,10.33,10.33,233739,0.0000,1.0
2020-08-03,10.39,10.45,10.27,10.27,10.27,476535,0.0000,1.0
2020-07-31,10.29,10.45,10.22,10.39,10.39,988354,0.0000,1.0
2020-07-30,10.25,10.39,10.2,10.31,10.31,2237580,0.0000,1.0
2020-07-29,10.81,11.0,10.13,10.31,10.31,2037342,0.0000,1.0
2020-07-28,10.72,10.87,10.56,10.63,10.63,206255,0.0000,1.0
2020-07-27,10.51,11.25,10.42,10.72,10.72,831330,0.0000,1.0
2020-07-24,10.73,10.7671,10.4,10.54,10.54,314534,0.0000,1.0
2020-07-23,10.84,10.84,10.6201,10.65,10.65,208174,0.0000,1.0
2020-07-22,10.95,10.99,10.7,10.76,10.76,177396,0.0000,1.0
2020-07-21,10.77,10.9,10.72,10.81,10.81,170395,0.0000,1.0
2020-07-20,10.95,11.0,10.7,10.77,10.77,324297,0.0000,1.0
2020-07-17,10.79,11.39,10.65,10.92,10.92,537870,0.0000,1.0
2020-07-16,10.71,10.787,10.6,10.69,10.69,425739,0.0000,1.0
2020-07-15,10.66,10.74,10.55,10.72,10.72,454718,0.0000,1.0
2020-07-14,10.56,10.8,10.43,10.66,10.66,818112,0.0000,1.0
2020-07-13,11.0,11.0,10.52,10.7,10.7,830400,0.0000,1.0
2020-07-10,10.89,10.95,10.7,10.84,10.84,883743,0.0000,1.0
2020-07-09,10.7,10.9,10.51,10.82,10.82,458680,0.0000,1.0
2020-07-08,10.89,10.9,10.61,10.75,10.75,314813,0.0000,1.0
2020-07-07,10.9,10.94,10.65,10.78,10.78,938157,0.0000,1.0
2020-07-06,11.09,11.11,10.81,10.92,10.92,1670479,0.0000,1.0
2020-07-02,10.8,10.849,10.5,10.79,10.79,1030864,0.0000,1.0
2020-07-01,11.0,11.0,10.4,10.75,10.75,1938650,0.0000,1.0
2020-06-30,11.2,11.28,10.3,10.75,10.75,4137968,0.0000,1.0
2020-06-29,10.95,10.95,10.3,10.87,10.87,6611129,0.0000,1.0
2020-06-26,10.12,10.12,10.05,10.05,10.05,7251,0.0000,1.0
2020-06-25,10.1,10.12,10.1,10.1,10.1,16224,0.0000,1.0
2020-06-24,10.1246,10.1246,10.05,10.05,10.05,309,0.0000,1.0
2020-06-23,10.12,10.17,10.05,10.05,10.05,35099,0.0000,1.0
2020-06-22,10.12,10.12,10.08,10.08,10.08,16023,0.0000,1.0
2020-06-19,10.07,10.13,10.05,10.1,10.1,92071,0.0000,1.0
2020-06-18,10.08,10.08,10.05,10.05,10.05,28766,0.0000,1.0
2020-06-17,10.05,10.08,10.05,10.08,10.08,718,0.0000,1.0
