,SYMBOL,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
0,PING,2020-12-31,USD,44798000,62657000,18457000,5546000,-10765000,38186000,13085000,55563000,None,-598000,None,598000,63255000,2231000,900000,4292000,-9169000,-5356000,598000,-3776000,-1879000,-10765000,-6473000,-3813000
1,PING,2020-09-30,USD,42590000,59336000,17351000,5177000,-5723000,31866000,12224000,48313000,None,-605000,None,605000,None,1271000,900000,4223000,-5096000,-4100000,605000,-1033000,-494000,-5723000,-1500000,-996000
2,PING,2020-06-30,USD,42302000,58981000,16679000,4944000,-5819000,32477000,11411000,48121000,None,-724000,None,724000,None,695000,900000,4233000,-5816000,-2900000,724000,-2948000,-2565000,-5819000,-1586000,-2916000
3,PING,2020-03-31,USD,45688000,61412000,15724000,4602000,-4354000,33579000,12214000,50042000,None,-506000,-506000,506000,None,-1250000,900000,4249000,-6110000,-1944000,506000,-4166000,-5181000,-4354000,-105000,-4166000
4,PING,2019-12-31,USD,52342000,66006000,15893000,4357000,318000,35297000,12422000,52024000,None,-847000,-847000,847000,None,1130000,1000000,4305000,-808000,-3022000,2229000,2241000,2397000,318000,4623000,2214000
5,PING,2019-09-30,USD,47525000,61765000,14240000,14240000,3379000,28803000,11283000,44146000,None,-3818000,-3818000,3818000,None,-992000,700000,4060000,-4595000,-4000000,None,-595000,-705000,3379000,7439000,-595000
6,PING,2019-06-30,USD,49177000,62460000,13283000,13283000,5477000,28690000,10857000,43700000,None,-4133000,-4133000,4133000,None,234000,700000,4153000,1578000,-178000,None,1756000,1856000,5477000,9630000,1756000
7,PING,2019-03-31,USD,38150000,50438000,12288000,12288000,-1817000,24392000,11454000,39967000,None,-4116000,-4116000,4116000,None,-9000,700000,4121000,-5979000,-1100000,None,-4879000,-4664000,-1817000,2304000,-4879000
8,PING,2018-12-31,USD,47464000,59493000,12029000,8246000,6059000,27194000,10202000,41405000,None,None,None,4087000,None,708000,600000,4009000,2680000,4749000,None,-5664000,-2623000,6059000,10068000,-2069000
9,PING,2018-09-30,USD,31197000,42619000,11422000,7873000,-2514000,20101000,9634000,33711000,None,None,None,3959000,None,-131000,500000,3976000,-6621000,-1000000,None,-3848000,-5482000,-2514000,1462000,-5621000
